Id	P1	P2	MS	Weight	UC	No.(+/+)	No.(-/-)	No.(+/-)	No.(?)	QTL1	QTL2	QTL3	QTL4	QTL5	QTL6	QTL7	QTL8	QTL9	QTL10	QTL11
B124xB125	B124	B125	0.712765	0.677145	8.958442	6	1	1	3	0.481233	0.661712	0.955854	0.942935	0.142255	0.961529	0.992358	0.000460	0.822353	0.950524	0.929196
B13xB124	B13	B124	0.741591	0.664517	9.275530	4	0	0	7	0.240617	0.777127	0.955858	0.930395	0.625936	0.728841	0.990951	0.414957	0.827143	0.726757	0.938915
B13xB125	B13	B125	0.732049	0.656444	9.052539	4	0	0	7	0.240617	0.769019	0.955858	0.930395	0.489450	0.728957	0.990951	0.414982	0.827143	0.721804	0.983361
B13xB242	B13	B242	0.745676	0.630957	9.202443	4	1	0	6	0.000000	0.805152	0.925887	0.902894	0.631372	0.734255	0.987752	0.663825	0.841815	0.726457	0.983035
B13xB37	B13	B37	0.752108	0.636399	9.139216	6	1	1	3	0.000000	0.918643	0.594634	0.917504	0.923295	0.734047	0.987748	0.878726	0.842729	0.493491	0.982374
B13xB38	B13	B38	0.755140	0.638964	9.424574	4	1	0	6	0.000000	0.909687	0.723276	0.930354	0.777646	0.711136	0.987748	0.878726	0.842729	0.737367	0.807870
B13xB40	B13	B40	0.750623	0.635143	9.374896	6	1	1	3	0.000000	0.930953	0.696751	0.938511	0.735274	0.709700	0.982703	0.900191	0.893133	0.497978	0.971670
B158xB124	B158	B124	0.762372	0.682102	9.386091	4	0	0	7	0.240617	0.774513	0.924168	0.941694	0.625934	0.965368	0.994201	0.496828	0.839870	0.716296	0.866604
B158xB125	B158	B125	0.752830	0.674028	9.147160	5	0	0	6	0.240617	0.766405	0.924168	0.941694	0.489448	0.965485	0.994201	0.496854	0.839870	0.711344	0.911050
B158xB13	B158	B13	0.781656	0.661401	9.464247	7	1	1	2	0.000000	0.881821	0.924173	0.929154	0.973129	0.732796	0.992795	0.911350	0.844659	0.487576	0.920770
B158xB242	B158	B242	0.766458	0.648541	9.297064	5	1	0	5	0.000000	0.802537	0.894197	0.914192	0.631370	0.970783	0.991002	0.745696	0.854542	0.715996	0.910724
B158xB28	B158	B28	0.788236	0.666969	9.536621	6	1	0	4	0.000000	0.925385	0.693135	0.944813	0.943393	0.944608	0.987873	0.890395	0.772895	0.715915	0.852182
B158xB37	B158	B37	0.772890	0.653984	9.208892	7	1	1	2	0.000000	0.916028	0.562944	0.928802	0.923293	0.970575	0.990998	0.960597	0.855456	0.483031	0.910062
B158xB38	B158	B38	0.775921	0.656549	9.535135	5	1	0	5	0.000000	0.907072	0.691585	0.941653	0.777644	0.947664	0.990998	0.960597	0.855456	0.726907	0.735558
