Id	P1	P2	Cycle	Group	MS	Weight	UC	No.(+/+)	No.(-/-)	No.(+/-)	No.(?)	QTL1	QTL2	QTL3	QTL4	QTL5	QTL6	QTL7	QTL8	QTL9	QTL10	QTL11
B110	A212	A1005	C2	-	0.686340	0.648069	8.667776	4	0	4	3	0.437579	0.731891	0.487604	0.939146	0.288227	0.966800	0.984623	0.427445	0.817609	0.962233	0.506587
B123	A212	A91	C2	-	0.671691	0.638975	8.506630	4	1	3	3	0.459042	0.611886	0.487870	0.953969	0.040594	0.922532	0.958187	0.496047	0.718884	0.766854	0.972730
B124	A23	A167	C2	-	0.722306	0.685218	8.811390	6	1	1	3	0.481233	0.669819	0.955854	0.942935	0.278741	0.961413	0.992358	0.000434	0.822353	0.955476	0.884749
B125	A23	A167	C2	-	0.703223	0.669071	8.442560	6	2	1	2	0.481233	0.653604	0.955854	0.942935	0.005769	0.961646	0.992358	0.000486	0.822353	0.945572	0.973642
B13	A1006	A1005	C2	-	0.760875	0.643817	9.076732	6	1	2	2	0.000000	0.884435	0.955863	0.917856	0.973131	0.496268	0.989545	0.829479	0.831932	0.498037	0.993081
B158	A251	A1005	C2	-	0.802438	0.678986	9.326818	7	1	1	2	0.000000	0.879206	0.892482	0.940453	0.973127	0.969323	0.996045	0.993221	0.857386	0.477116	0.848458
B28	A1006	A251	C2	-	0.774034	0.654952	9.221481	6	1	1	3	0.000000	0.971564	0.493788	0.949174	0.913659	0.919894	0.979701	0.787569	0.688405	0.954715	0.855905
B47	A166	A167	C2	-	0.630872	0.657042	7.805620	4	2	2	3	0.800979	0.496649	0.873271	0.836086	0.000000	0.529073	0.996044	0.000000	0.443731	0.976072	0.987689
B57	A167	A1040	C2	-	0.686049	0.654539	8.771280	4	0	6	1	0.481233	0.606583	0.423042	0.925401	0.456822	0.964149	0.985952	0.496047	0.734951	0.497264	0.975091
B8	A1005	A1005	C2	-	0.836645	0.707930	9.203095	8	1	0	2	0.000000	0.859812	0.976077	0.875152	0.895910	0.974470	0.996045	0.929065	0.753512	0.957421	0.985631
