Id	P1	P2	Cycle	Group	MS	Weight	UC	No.(+/+)	No.(-/-)	No.(+/-)	No.(?)	QTL1	QTL2	QTL3	QTL4	QTL5	QTL6	QTL7	QTL8	QTL9	QTL10	QTL11
B124	A23	A167	C2	-	0.722306	0.685218	8.811390	6	1	1	3	0.481233	0.669819	0.955854	0.942935	0.278741	0.961413	0.992358	0.000434	0.822353	0.955476	0.884749
B125	A23	A167	C2	-	0.703223	0.669071	8.442560	6	2	1	2	0.481233	0.653604	0.955854	0.942935	0.005769	0.961646	0.992358	0.000486	0.822353	0.945572	0.973642
B13	A1006	A1005	C2	-	0.760875	0.643817	9.076732	6	1	2	2	0.000000	0.884435	0.955863	0.917856	0.973131	0.496268	0.989545	0.829479	0.831932	0.498037	0.993081
B158	A251	A1005	C2	-	0.802438	0.678986	9.326818	7	1	1	2	0.000000	0.879206	0.892482	0.940453	0.973127	0.969323	0.996045	0.993221	0.857386	0.477116	0.848458
B242	A37	A1005	C2	-	0.730478	0.618097	8.742366	6	1	1	3	0.000000	0.725868	0.895912	0.887932	0.289613	0.972242	0.985959	0.498171	0.851697	0.954877	0.972989
B28	A1006	A251	C2	-	0.774034	0.654952	9.221481	6	1	1	3	0.000000	0.971564	0.493788	0.949174	0.913659	0.919894	0.979701	0.787569	0.688405	0.954715	0.855905
B37	A1040	A1005	C2	-	0.743341	0.628981	8.676754	7	1	1	2	0.000000	0.952850	0.233406	0.917151	0.873459	0.971827	0.985951	0.927973	0.853526	0.488945	0.971666
B38	A1040	A1005	C2	-	0.749405	0.634112	9.109480	6	1	1	3	0.000000	0.934939	0.490689	0.942853	0.582162	0.926005	0.985951	0.927973	0.853526	0.976698	0.622658
B40	A1040	A1040	C2	-	0.740372	0.626469	9.010122	7	1	2	1	0.000000	0.977472	0.437640	0.959165	0.497416	0.923131	0.975860	0.970902	0.954334	0.497919	0.950259
B8	A1005	A1005	C2	-	0.836645	0.707930	9.203095	8	1	0	2	0.000000	0.859812	0.976077	0.875152	0.895910	0.974470	0.996045	0.929065	0.753512	0.957421	0.985631
