Id	MS	All	QTL1	QTL2	QTL3	QTL4	QTL5	QTL6	QTL7	QTL8	QTL9	QTL10	QTL11
D	0.363636	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000
F	0.363636	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000
S	0.454545	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000
X	0.272727	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000
df	0.363636	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000
fx	0.318182	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000
sf	0.409091	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000
df19_	0.419933	0.997179	1.000000	1.000000	0.969046	0.999973	1.000000	0.999993	0.999985	0.999998	0.999993	0.999982	0.999995
df21_	0.464440	0.999955	1.000000	0.999999	0.999568	0.999999	1.000000	1.000000	0.999999	0.999998	0.999969	0.999982	0.999995
df24_	0.452547	0.999996	1.000000	1.000000	0.999989	1.000000	1.000000	1.000000	0.999985	0.999998	0.999993	0.999993	0.999998
df37_	0.471661	0.999992	1.000000	0.999999	0.999938	0.999999	1.000000	1.000000	1.000000	1.000000	0.999990	0.999997	0.999995
df58_	0.570224	0.999364	1.000000	0.999997	0.993042	0.999999	1.000000	1.000000	0.999984	0.999998	0.999990	0.999993	0.999996
df59_	0.472064	0.999991	1.000000	0.999999	0.999980	0.999973	1.000000	0.999977	0.999984	1.000000	0.999999	0.999997	0.999996
df64_	0.357504	0.999889	1.000000	0.999999	0.998883	0.999994	1.000000	1.000000	0.999999	0.999911	0.999999	0.999993	0.999996
df72_	0.354819	0.997184	1.000000	1.000000	0.969046	0.999990	1.000000	1.000000	0.999999	1.000000	0.999999	0.999993	0.999995
df73_	0.375205	0.999991	1.000000	0.999999	0.999921	0.999999	1.000000	1.000000	0.999999	1.000000	0.999993	0.999997	0.999996
df77_	0.519445	0.999989	1.000000	1.000000	0.999921	0.999973	1.000000	1.000000	0.999999	0.999998	0.999990	0.999997	0.999998
df108_	0.496264	0.999983	1.000000	0.999999	0.999946	0.999999	1.000000	1.000000	0.999984	0.999911	0.999993	0.999982	0.999995
df128_	0.475082	0.999957	1.000000	0.999999	0.999600	0.999973	1.000000	0.999993	1.000000	0.999998	0.999969	0.999993	0.999998
df132_	0.485384	0.999994	1.000000	0.999999	0.999977	0.999999	1.000000	1.000000	1.000000	0.999998	0.999969	0.999997	0.999995
df137_	0.530126	0.999993	1.000000	0.999999	0.999979	0.999973	1.000000	0.999987	1.000000	0.999998	0.999999	0.999993	0.999998
fx305_	0.534955	0.999995	1.000000	1.000000	0.999979	0.999998	1.000000	0.999995	0.999995	0.999993	0.999987	0.999994	1.000000
fx319_	0.482978	0.999993	1.000000	1.000000	0.999996	0.999996	1.000000	0.999995	0.999995	0.999989	0.999963	0.999993	0.999995
fx376_	0.483913	0.999988	1.000000	1.000000	0.999996	0.999996	1.000000	0.999995	1.000000	0.999993	0.999896	0.999994	0.999997
sf648_	0.506930	0.999992	1.000000	0.999999	0.999982	0.999998	1.000000	1.000000	0.999995	0.999998	0.999951	0.999994	0.999996
sf650_	0.536694	0.999991	1.000000	0.999999	0.999998	0.999977	1.000000	1.000000	0.999995	1.000000	0.999941	0.999994	0.999998
sf655_	0.537282	0.999990	1.000000	1.000000	0.999998	0.999942	1.000000	1.000000	1.000000	0.999998	0.999959	0.999994	0.999998
sf681_	0.508395	0.999991	1.000000	1.000000	0.999983	0.999977	1.000000	1.000000	0.999995	0.999998	0.999954	0.999994	0.999998
sf683_	0.553013	0.999991	1.000000	1.000000	0.999998	0.999962	1.000000	1.000000	0.999995	0.999998	0.999959	0.999994	0.999996
sf716_	0.542751	0.999994	1.000000	1.000000	0.999998	0.999998	1.000000	1.000000	0.999995	0.999998	0.999954	0.999995	0.999998
sf740_	0.487385	0.999988	1.000000	0.999999	0.999960	0.999998	1.000000	0.999977	0.999995	0.999998	0.999951	0.999995	0.999998
sf743_	0.451453	0.999991	1.000000	0.999999	0.999983	0.999977	1.000000	1.000000	1.000000	0.999998	0.999954	0.999994	0.999996
df19	0.419790	0.996862	0.999976	1.000000	0.969045	0.999608	0.999997	0.999973	0.999968	0.999704	0.997422	0.999966	0.999827
df21	0.464275	0.999597	0.999976	0.999657	0.999186	0.997605	0.999997	1.000000	0.999733	0.999704	0.999914	0.999963	0.999827
df24	0.452406	0.999682	0.999976	1.000000	0.999987	1.000000	0.999967	0.999677	0.999968	0.999704	0.997422	0.999800	0.999998
df37	0.471499	0.999665	0.999976	0.999657	0.999645	0.997605	0.999967	0.999677	1.000000	0.999997	0.999966	0.999996	0.999827
df58	0.570103	0.999093	0.999976	0.999997	0.993024	0.997605	0.999997	1.000000	0.999984	0.999704	0.999966	0.999800	0.999975
df59	0.472019	0.999896	0.999976	0.999657	0.999750	0.999608	0.999967	0.999956	0.999984	0.999997	0.999992	0.999996	0.999975
df64	0.357351	0.999572	0.999976	0.999657	0.998856	0.997449	0.999967	1.000000	0.999733	0.999890	0.999992	0.999800	0.999973
df72	0.354789	0.997119	0.999976	1.000000	0.969045	0.999967	0.999967	1.000000	0.999733	0.999997	0.999992	0.999800	0.999827
df73	0.374927	0.999432	0.999976	0.999657	0.999724	0.997605	0.999997	0.999677	0.999733	0.999997	0.997422	0.999996	0.999973
df77	0.519406	0.999879	0.999976	1.000000	0.999724	0.999608	0.999967	1.000000	0.999733	0.999704	0.999966	0.999996	0.999998
df108	0.496000	0.999448	0.999976	0.999657	0.999622	0.997605	0.999969	1.000000	0.999984	0.999890	0.997422	0.999963	0.999834
