Id	Cycle	Group	MS	All(+/+)	All(-/-)	All(+/-)	QTL1(+/+)	QTL1(-/-)	QTL1(+/-)	QTL2(+/+)	QTL2(-/-)	QTL2(+/-)	QTL3(+/+)	QTL3(-/-)	QTL3(+/-)	QTL4(+/+)	QTL4(-/-)	QTL4(+/-)	QTL5(+/+)	QTL5(-/-)	QTL5(+/-)	QTL6(+/+)	QTL6(-/-)	QTL6(+/-)	QTL7(+/+)	QTL7(-/-)	QTL7(+/-)	QTL8(+/+)	QTL8(-/-)	QTL8(+/-)	QTL9(+/+)	QTL9(-/-)	QTL9(+/-)	QTL10(+/+)	QTL10(-/-)	QTL10(+/-)	QTL11(+/+)	QTL11(-/-)	QTL11(+/-)
D	-	-	0.363636	0.363636	0.636364	0.000000	0.000000	1.000000	0.000000	0.000000	1.000000	0.000000	1.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	1.000000	0.000000	1.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	1.000000	0.000000	0.000000	1.000000	0.000000	1.000000	0.000000	0.000000	1.000000	0.000000	0.000000
F	-	-	0.363636	0.363636	0.636364	0.000000	0.000000	1.000000	0.000000	1.000000	0.000000	0.000000	0.000000	1.000000	0.000000	1.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	1.000000	0.000000	1.000000	0.000000	0.000000	0.000000	1.000000	0.000000	1.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	1.000000	0.000000
S	-	-	0.454545	0.454545	0.545455	0.000000	0.000000	1.000000	0.000000	0.000000	1.000000	0.000000	0.000000	1.000000	0.000000	1.000000	0.000000	0.000000	1.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	1.000000	0.000000	1.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	1.000000	0.000000	1.000000	0.000000	0.000000
X	-	-	0.272727	0.272727	0.727273	0.000000	1.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	1.000000	0.000000	0.000000	1.000000	0.000000	0.000000	1.000000	0.000000	0.000000	1.000000	0.000000	0.000000	1.000000	0.000000	0.000000	1.000000	0.000000	0.000000	1.000000	0.000000	1.000000	0.000000	0.000000	1.000000	0.000000	0.000000
df	-	-	0.363636	0.000000	0.272727	0.727273	0.000000	1.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	1.000000	0.000000	0.000000	1.000000	0.000000	1.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	1.000000	0.000000	1.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	1.000000	0.000000	0.000000	1.000000
fx	-	-	0.318182	0.000000	0.363636	0.636364	0.000000	0.000000	1.000000	0.000000	0.000000	1.000000	0.000000	1.000000	0.000000	0.000000	0.000000	1.000000	0.000000	1.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	1.000000	0.000000	1.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	1.000000	0.000000	0.000000	1.000000
sf	-	-	0.409091	0.090909	0.272727	0.636364	0.000000	1.000000	0.000000	0.000000	0.000000	1.000000	0.000000	1.000000	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	1.000000	0.000000	0.000000	1.000000	0.000000	0.000000	1.000000	0.000000	0.000000	1.000000	0.000000	1.000000	0.000000	0.000000	0.000000	1.000000
df19_	F2	-	0.419933	0.218819	0.376132	0.402228	0.000000	1.000000	0.000000	0.989717	0.000027	0.010257	0.000000	0.682721	0.286325	0.494123	0.009282	0.496568	0.000000	1.000000	0.000000	0.898783	0.000468	0.100742	0.007756	0.007756	0.984473	0.000000	0.999998	0.000000	0.006915	0.006915	0.986163	0.001516	0.422082	0.576384	0.008199	0.008199	0.983597
df21_	F2	-	0.464440	0.259591	0.330666	0.409698	0.000000	1.000000	0.000000	0.010048	0.010048	0.979902	0.815957	0.001783	0.181828	0.034219	0.034219	0.931562	0.000000	1.000000	0.000000	0.985239	0.000049	0.014712	0.007756	0.007756	0.984487	0.000000	0.999998	0.000000	0.992974	0.000000	0.006995	0.001112	0.575272	0.423598	0.008199	0.008199	0.983597
df24_	F2	-	0.452547	0.270652	0.365554	0.363789	0.000000	1.000000	0.000000	0.989717	0.000027	0.010257	0.995413	0.000000	0.004576	0.962917	0.000350	0.036733	0.000000	1.000000	0.000000	0.009256	0.009256	0.981487	0.007756	0.007756	0.984473	0.000000	0.999998	0.000000	0.006915	0.006915	0.986163	0.005186	0.005186	0.989622	0.000017	0.991609	0.008371
df37_	F2	-	0.471661	0.222099	0.278771	0.499122	0.000000	1.000000	0.000000	0.010048	0.010048	0.979902	0.173320	0.001876	0.824741	0.034219	0.034219	0.931562	0.000000	1.000000	0.000000	0.009256	0.009256	0.981487	0.710883	0.001136	0.287981	0.000000	1.000000	0.000000	0.502417	0.001740	0.495833	0.994750	0.000005	0.005241	0.008199	0.008199	0.983597
df58_	F2	-	0.570224	0.417835	0.276751	0.304778	0.000000	1.000000	0.000000	0.989717	0.000024	0.010257	0.813873	0.000000	0.179169	0.034219	0.034219	0.931562	0.000000	1.000000	0.000000	0.985239	0.000049	0.014712	0.992078	0.000000	0.007906	0.000000	0.999998	0.000000	0.502417	0.001740	0.495833	0.005186	0.005186	0.989622	0.273456	0.003049	0.723492
df59_	F2	-	0.472064	0.317911	0.373776	0.308304	0.000000	1.000000	0.000000	0.010048	0.010048	0.979902	0.000747	0.809473	0.189759	0.494123	0.009282	0.496568	0.000000	1.000000	0.000000	0.009256	0.009256	0.981465	0.992078	0.000000	0.007906	0.000000	1.000000	0.000000	0.992974	0.000011	0.007014	0.994750	0.000005	0.005241	0.003049	0.273456	0.723492
df64_	F2	-	0.357504	0.169571	0.454451	0.375866	0.000000	1.000000	0.000000	0.010048	0.010048	0.979902	0.000000	0.960464	0.038419	0.126935	0.029192	0.843868	0.000000	1.000000	0.000000	0.000049	0.985239	0.014712	0.007756	0.007756	0.984487	0.000000	0.999911	0.000000	0.992974	0.000011	0.007014	0.005186	0.005186	0.989622	0.722337	0.001154	0.276504
df72_	F2	-	0.354819	0.183027	0.470572	0.343584	0.000000	1.000000	0.000000	0.989717	0.000027	0.010257	0.000000	0.682721	0.286325	0.009420	0.487157	0.503413	0.000000	1.000000	0.000000	0.000049	0.985239	0.014712	0.007756	0.007756	0.984487	0.000000	1.000000	0.000000	0.992974	0.000011	0.007014	0.005186	0.005186	0.989622	0.008199	0.008199	0.983597
df73_	F2	-	0.375205	0.097119	0.346700	0.556172	0.000000	1.000000	0.000000	0.010048	0.010048	0.979902	0.004210	0.023168	0.972543	0.034219	0.034219	0.931562	0.000000	1.000000	0.000000	0.009256	0.009256	0.981487	0.007756	0.007756	0.984487	0.000000	1.000000	0.000000	0.006915	0.006915	0.986163	0.994750	0.000005	0.005241	0.001154	0.722337	0.276504
df77_	F2	-	0.519445	0.359774	0.320872	0.319343	0.000000	1.000000	0.000000	0.548702	0.002312	0.448986	0.004210	0.023168	0.972543	0.009282	0.494123	0.496568	0.000000	1.000000	0.000000	0.898783	0.000475	0.100742	0.007756	0.007756	0.984487	0.000000	0.999998	0.000000	0.502417	0.001740	0.495833	0.994750	0.000005	0.005241	0.991609	0.000017	0.008371
df108_	F2	-	0.496264	0.271849	0.279304	0.448830	0.000000	1.000000	0.000000	0.010048	0.010048	0.979902	0.431847	0.012100	0.555999	0.034219	0.034219	0.931562	0.000000	1.000000	0.000000	0.898783	0.000475	0.100742	0.992078	0.000000	0.007906	0.000000	0.999911	0.000000	0.006915	0.006915	0.986163	0.575272	0.001112	0.423598	0.041179	0.007559	0.951257
df128_	F2	-	0.475082	0.307147	0.356941	0.335869	0.000000	1.000000	0.000000	0.010048	0.010048	0.979902	0.173331	0.001897	0.824372	0.494123	0.009282	0.496568	0.000000	1.000000	0.000000	0.000468	0.898783	0.100742	0.710883	0.001136	0.287981	0.000000	0.999998	0.000000	0.992974	0.000000	0.006995	0.005186	0.005186	0.989622	0.991609	0.000017	0.008371
df132_	F2	-	0.485384	0.251322	0.280549	0.468123	0.000000	1.000000	0.000000	0.010048	0.010048	0.979902	0.004213	0.023173	0.972590	0.034219	0.034219	0.931562	0.000000	1.000000	0.000000	0.009256	0.009256	0.981487	0.710883	0.001136	0.287981	0.000000	0.999998	0.000000	0.992974	0.000000	0.006995	0.994750	0.000005	0.005241	0.008199	0.008199	0.983597
df137_	F2	-	0.530126	0.399875	0.339617	0.260502	0.000000	1.000000	0.000000	0.010048	0.010048	0.979902	0.974050	0.000049	0.025880	0.494123	0.009282	0.496568	0.000000	1.000000	0.000000	0.929498	0.000311	0.070178	0.001136	0.710883	0.287981	0.000000	0.999998	0.000000	0.992974	0.000011	0.007014	0.005186	0.005186	0.989622	0.991609	0.000017	0.008371
fx305_	F2	-	0.534955	0.444529	0.374613	0.180853	0.976636	0.000138	0.023226	0.881811	0.003715	0.114474	0.000000	0.999979	0.000000	0.055318	0.055318	0.889361	0.000000	1.000000	0.000000	0.000000	0.999995	0.000000	0.992078	0.000011	0.007906	0.000000	0.999993	0.000000	0.061399	0.061399	0.877189	0.922737	0.000195	0.077062	0.999840	0.000000	0.000160
fx319_	F2	-	0.482978	0.352409	0.386446	0.261138	0.976636	0.000138	0.023226	0.881811	0.003715	0.114474	0.000000	0.999996	0.000000	0.925803	0.001401	0.072792	0.000000	1.000000	0.000000	0.000000	0.999995	0.000000	0.992078	0.000011	0.007906	0.000000	0.999989	0.000000	0.047348	0.240397	0.712218	0.005186	0.005186	0.989622	0.047639	0.000075	0.952281
fx376_	F2	-	0.483913	0.338149	0.370312	0.291526	0.805422	0.002174	0.192404	0.057237	0.057237	0.885526	0.000000	0.999996	0.000000	0.925803	0.001401	0.072792	0.000000	1.000000	0.000000	0.000000	0.999995	0.000000	0.285148	0.002833	0.712019	0.000000	0.999993	0.000000	0.723139	0.009453	0.267304	0.922737	0.000195	0.077062	0.000158	0.000158	0.999681
sf648_	F2	-	0.506930	0.299919	0.286051	0.414022	0.000000	1.000000	0.000000	0.735427	0.011588	0.252984	0.000000	0.999982	0.000000	0.999998	0.000000	0.000000	0.588458	0.002113	0.409429	0.004436	0.096306	0.899258	0.007756	0.007756	0.984483	0.001290	0.001290	0.997418	0.239406	0.026378	0.734166	0.000000	0.999994	0.000000	0.722337	0.001154	0.276504
sf650_	F2	-	0.536694	0.368337	0.294940	0.336714	0.000000	1.000000	0.000000	0.032643	0.080722	0.886634	0.000000	0.999998	0.000000	0.999977	0.000000	0.000000	0.010079	0.010079	0.979842	0.009256	0.009256	0.981487	0.992078	0.000011	0.007906	0.998706	0.000000	0.001294	0.017355	0.144261	0.838324	0.000000	0.999994	0.000000	0.991609	0.000017	0.008371
sf655_	F2	-	0.537282	0.438460	0.363886	0.197644	0.000000	1.000000	0.000000	0.957397	0.000464	0.042140	0.000000	0.999998	0.000000	0.999942	0.000000	0.000000	0.989679	0.000027	0.010294	0.000024	0.990202	0.009774	0.285148	0.002833	0.712019	0.001290	0.001290	0.997418	0.597967	0.007922	0.394069	0.000000	0.999994	0.000000	0.991609	0.000017	0.008371
sf681_	F2	-	0.508395	0.295914	0.279115	0.424961	0.000000	1.000000	0.000000	0.219715	0.016698	0.763587	0.000000	0.999983	0.000000	0.999977	0.000000	0.000000	0.010079	0.010079	0.979842	0.990202	0.000024	0.009774	0.007756	0.007756	0.984483	0.001290	0.001290	0.997418	0.034427	0.034427	0.931100	0.000000	0.999994	0.000000	0.991609	0.000017	0.008371
sf683_	F2	-	0.553013	0.413260	0.307224	0.279507	0.000000	1.000000	0.000000	0.957397	0.000464	0.042140	0.000000	0.999998	0.000000	0.999962	0.000000	0.000000	0.989679	0.000027	0.010294	0.004436	0.096306	0.899258	0.992078	0.000011	0.007906	0.001290	0.001290	0.997418	0.597967	0.007922	0.394069	0.000000	0.999994	0.000000	0.003049	0.273456	0.723492
sf716_	F2	-	0.542751	0.363285	0.277776	0.358933	0.000000	1.000000	0.000000	0.957397	0.000464	0.042140	0.000000	0.999998	0.000000	0.999998	0.000000	0.000000	0.010079	0.010079	0.979842	0.009256	0.009256	0.981487	0.992078	0.000011	0.007906	0.001290	0.001290	0.997418	0.034427	0.034427	0.931100	0.000000	0.999995	0.000000	0.991609	0.000017	0.008371
sf740_	F2	-	0.487385	0.278485	0.303703	0.417800	0.000000	1.000000	0.000000	0.032643	0.080722	0.886634	0.000000	0.999960	0.000000	0.999998	0.000000	0.000000	0.010079	0.010079	0.979842	0.009256	0.009256	0.981465	0.992078	0.000011	0.007906	0.001290	0.001290	0.997418	0.026378	0.239406	0.734166	0.000000	0.999995	0.000000	0.991609	0.000017	0.008371
sf743_	F2	-	0.451453	0.188365	0.285449	0.526178	0.000000	1.000000	0.000000	0.032643	0.080722	0.886634	0.000000	0.999983	0.000000	0.999977	0.000000	0.000000	0.010079	0.010079	0.979842	0.009256	0.009256	0.981487	0.710883	0.001136	0.287981	0.001290	0.001290	0.997418	0.034427	0.034427	0.931100	0.000000	0.999994	0.000000	0.273456	0.003049	0.723492
df19	-	-	0.419790	0.369553	0.526836	0.100474	0.000000	0.999976	0.000000	0.993563	0.003873	0.002564	0.107372	0.790093	0.071581	0.680214	0.195370	0.124024	0.000000	0.999997	0.000000	0.936555	0.038240	0.025178	0.376928	0.376928	0.246112	0.000000	0.999704	0.000000	0.375810	0.375810	0.245802	0.217653	0.638222	0.144091	0.376986	0.376986	0.245856
df21	-	-	0.464275	0.413115	0.484161	0.102320	0.000000	0.999976	0.000000	0.377396	0.377396	0.244865	0.884008	0.069848	0.045329	0.382736	0.382736	0.232132	0.000000	0.999997	0.000000	0.990756	0.005566	0.003678	0.376850	0.376850	0.246034	0.000000	0.999704	0.000000	0.995582	0.002599	0.001732	0.159954	0.734114	0.105895	0.376986	0.376986	0.245856
df24	-	-	0.452406	0.406973	0.501843	0.090866	0.000000	0.999976	0.000000	0.993563	0.003873	0.002564	0.997128	0.001715	0.001143	0.976692	0.014125	0.009183	0.000000	0.999967	0.000000	0.377201	0.377201	0.245275	0.376928	0.376928	0.246112	0.000000	0.999704	0.000000	0.375810	0.375810	0.245802	0.376221	0.376221	0.247357	0.003156	0.994748	0.002093
df37	-	-	0.471499	0.409159	0.465825	0.124681	0.000000	0.999976	0.000000	0.377396	0.377396	0.244865	0.482493	0.311047	0.206105	0.382736	0.382736	0.232132	0.000000	0.999967	0.000000	0.377201	0.377201	0.245275	0.818876	0.109129	0.071995	0.000000	0.999997	0.000000	0.688342	0.187668	0.123955	0.996716	0.001970	0.001310	0.376986	0.376986	0.245856
df58	-	-	0.570103	0.532043	0.390931	0.076119	0.000000	0.999976	0.000000	0.993563	0.003870	0.002564	0.881056	0.067184	0.044784	0.382736	0.382736	0.232132	0.000000	0.999997	0.000000	0.990756	0.005566	0.003678	0.995043	0.002965	0.001977	0.000000	0.999704	0.000000	0.688342	0.187668	0.123955	0.376221	0.376221	0.247357	0.544759	0.274352	0.180864
df59	-	-	0.472019	0.433494	0.489353	0.077049	0.000000	0.999976	0.000000	0.377396	0.377396	0.244865	0.071817	0.880547	0.047386	0.680214	0.195370	0.124024	0.000000	0.999967	0.000000	0.377299	0.377299	0.245358	0.995043	0.002965	0.001977	0.000000	0.999997	0.000000	0.995601	0.002639	0.001752	0.996716	0.001970	0.001310	0.274352	0.544759	0.180864
df64	-	-	0.357351	0.310415	0.595285	0.093872	0.000000	0.999976	0.000000	0.377396	0.377396	0.244865	0.014396	0.974865	0.009595	0.442510	0.344745	0.210194	0.000000	0.999967	0.000000	0.005566	0.990756	0.003678	0.376850	0.376850	0.246034	0.000000	0.999890	0.000000	0.995601	0.002639	0.001752	0.376221	0.376221	0.247357	0.826020	0.104832	0.069121
df72	-	-	0.354789	0.311850	0.599390	0.085879	0.000000	0.999976	0.000000	0.993563	0.003873	0.002564	0.107372	0.790093	0.071581	0.198190	0.675928	0.125849	0.000000	0.999967	0.000000	0.005566	0.990756	0.003678	0.376850	0.376850	0.246034	0.000000	0.999997	0.000000	0.995601	0.002639	0.001752	0.376221	0.376221	0.247357	0.376986	0.376986	0.245856
df73	-	-	0.374927	0.305490	0.555069	0.138874	0.000000	0.999976	0.000000	0.377396	0.377396	0.244865	0.368846	0.387804	0.243073	0.382736	0.382736	0.232132	0.000000	0.999997	0.000000	0.377201	0.377201	0.245275	0.376850	0.376850	0.246034	0.000000	0.999997	0.000000	0.375810	0.375810	0.245802	0.996716	0.001970	0.001310	0.104832	0.826020	0.069121
