Id	Cycle	Group	MS	All(d)	All(f)	All(s)	All(x)	QTL1(d)	QTL1(f)	QTL1(s)	QTL1(x)	QTL2(d)	QTL2(f)	QTL2(s)	QTL2(x)	QTL3(d)	QTL3(f)	QTL3(s)	QTL3(x)	QTL4(d)	QTL4(f)	QTL4(s)	QTL4(x)	QTL5(d)	QTL5(f)	QTL5(s)	QTL5(x)	QTL6(d)	QTL6(f)	QTL6(s)	QTL6(x)	QTL7(d)	QTL7(f)	QTL7(s)	QTL7(x)	QTL8(d)	QTL8(f)	QTL8(s)	QTL8(x)	QTL9(d)	QTL9(f)	QTL9(s)	QTL9(x)	QTL10(d)	QTL10(f)	QTL10(s)	QTL10(x)	QTL11(d)	QTL11(f)	QTL11(s)	QTL11(x)
D	-	-	0.363636	1.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000
F	-	-	0.363636	0.000000	1.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000
S	-	-	0.454545	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	1.000000	0.000000
X	-	-	0.272727	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	1.000000
df	-	-	0.363636	0.500000	0.500000	0.000000	0.000000	0.500000	0.500000	0.000000	0.000000	0.500000	0.500000	0.000000	0.000000	0.500000	0.500000	0.000000	0.000000	0.500000	0.500000	0.000000	0.000000	0.500000	0.500000	0.000000	0.000000	0.500000	0.500000	0.000000	0.000000	0.500000	0.500000	0.000000	0.000000	0.500000	0.500000	0.000000	0.000000	0.500000	0.500000	0.000000	0.000000	0.500000	0.500000	0.000000	0.000000	0.500000	0.500000	0.000000	0.000000
fx	-	-	0.318182	0.000000	0.500000	0.000000	0.500000	0.000000	0.500000	0.000000	0.500000	0.000000	0.500000	0.000000	0.500000	0.000000	0.500000	0.000000	0.500000	0.000000	0.500000	0.000000	0.500000	0.000000	0.500000	0.000000	0.500000	0.000000	0.500000	0.000000	0.500000	0.000000	0.500000	0.000000	0.500000	0.000000	0.500000	0.000000	0.500000	0.000000	0.500000	0.000000	0.500000	0.000000	0.500000	0.000000	0.500000	0.000000	0.500000	0.000000	0.500000
sf	-	-	0.409091	0.000000	0.500000	0.500000	0.000000	0.000000	0.500000	0.500000	0.000000	0.000000	0.500000	0.500000	0.000000	0.000000	0.500000	0.500000	0.000000	0.000000	0.500000	0.500000	0.000000	0.000000	0.500000	0.500000	0.000000	0.000000	0.500000	0.500000	0.000000	0.000000	0.500000	0.500000	0.000000	0.000000	0.500000	0.500000	0.000000	0.000000	0.500000	0.500000	0.000000	0.000000	0.500000	0.500000	0.000000	0.000000	0.500000	0.500000	0.000000
df19_	F2	-	0.419933	0.384053	0.613126	0.000000	0.000000	0.500000	0.500000	0.000000	0.000000	0.005155	0.994845	0.000000	0.000000	0.143163	0.825883	0.000000	0.000000	0.257566	0.742407	0.000000	0.000000	0.079852	0.920148	0.000000	0.000000	0.949154	0.050839	0.000000	0.000000	0.499992	0.499992	0.000000	0.000000	0.499999	0.499999	0.000000	0.000000	0.499997	0.499997	0.000000	0.000000	0.289708	0.710275	0.000000	0.000000	0.499998	0.499998	0.000000	0.000000
df21_	F2	-	0.464440	0.548729	0.451226	0.000000	0.000000	0.500000	0.500000	0.000000	0.000000	0.500000	0.500000	0.000000	0.000000	0.906871	0.092697	0.000000	0.000000	0.499999	0.499999	0.000000	0.000000	0.920148	0.079852	0.000000	0.000000	0.992595	0.007405	0.000000	0.000000	0.500000	0.500000	0.000000	0.000000	0.499999	0.499999	0.000000	0.000000	0.003497	0.996471	0.000000	0.000000	0.212911	0.787071	0.000000	0.000000	0.499998	0.499998	0.000000	0.000000
df24_	F2	-	0.452547	0.411433	0.588563	0.000000	0.000000	0.500000	0.500000	0.000000	0.000000	0.005155	0.994845	0.000000	0.000000	0.997701	0.002288	0.000000	0.000000	0.018717	0.981283	0.000000	0.000000	0.500000	0.500000	0.000000	0.000000	0.500000	0.500000	0.000000	0.000000	0.499992	0.499992	0.000000	0.000000	0.499999	0.499999	0.000000	0.000000	0.499997	0.499997	0.000000	0.000000	0.499997	0.499997	0.000000	0.000000	0.004203	0.995795	0.000000	0.000000
df37_	F2	-	0.471661	0.543381	0.456611	0.000000	0.000000	0.500000	0.500000	0.000000	0.000000	0.500000	0.500000	0.000000	0.000000	0.585691	0.414247	0.000000	0.000000	0.499999	0.499999	0.000000	0.000000	0.500000	0.500000	0.000000	0.000000	0.500000	0.500000	0.000000	0.000000	0.145127	0.854873	0.000000	0.000000	0.999353	0.000647	0.000000	0.000000	0.249657	0.750334	0.000000	0.000000	0.997371	0.002626	0.000000	0.000000	0.499998	0.499998	0.000000	0.000000
df58_	F2	-	0.570224	0.442715	0.556649	0.000000	0.000000	0.500000	0.500000	0.000000	0.000000	0.005152	0.994845	0.000000	0.000000	0.903458	0.089585	0.000000	0.000000	0.499999	0.499999	0.000000	0.000000	0.079852	0.920148	0.000000	0.000000	0.992595	0.007405	0.000000	0.000000	0.003953	0.996031	0.000000	0.000000	0.499999	0.499999	0.000000	0.000000	0.249657	0.750334	0.000000	0.000000	0.499997	0.499997	0.000000	0.000000	0.635201	0.364794	0.000000	0.000000
df59_	F2	-	0.472064	0.429288	0.570703	0.000000	0.000000	0.500000	0.500000	0.000000	0.000000	0.500000	0.500000	0.000000	0.000000	0.095627	0.904353	0.000000	0.000000	0.257566	0.742407	0.000000	0.000000	0.500000	0.500000	0.000000	0.000000	0.499989	0.499989	0.000000	0.000000	0.003953	0.996031	0.000000	0.000000	0.999353	0.000647	0.000000	0.000000	0.003518	0.996481	0.000000	0.000000	0.997371	0.002626	0.000000	0.000000	0.364794	0.635201	0.000000	0.000000
df64_	F2	-	0.357504	0.409837	0.590052	0.000000	0.000000	0.500000	0.500000	0.000000	0.000000	0.500000	0.500000	0.000000	0.000000	0.019209	0.979673	0.000000	0.000000	0.451125	0.548868	0.000000	0.000000	0.500000	0.500000	0.000000	0.000000	0.007405	0.992595	0.000000	0.000000	0.500000	0.500000	0.000000	0.000000	0.666364	0.333547	0.000000	0.000000	0.003518	0.996481	0.000000	0.000000	0.499997	0.499997	0.000000	0.000000	0.860589	0.139406	0.000000	0.000000
df72_	F2	-	0.354819	0.399768	0.597416	0.000000	0.000000	0.500000	0.500000	0.000000	0.000000	0.005155	0.994845	0.000000	0.000000	0.143163	0.825883	0.000000	0.000000	0.738863	0.261126	0.000000	0.000000	0.500000	0.500000	0.000000	0.000000	0.007405	0.992595	0.000000	0.000000	0.500000	0.500000	0.000000	0.000000	0.999353	0.000647	0.000000	0.000000	0.003518	0.996481	0.000000	0.000000	0.499997	0.499997	0.000000	0.000000	0.499998	0.499998	0.000000	0.000000
df73_	F2	-	0.375205	0.504368	0.495623	0.000000	0.000000	0.500000	0.500000	0.000000	0.000000	0.500000	0.500000	0.000000	0.000000	0.490481	0.509440	0.000000	0.000000	0.499999	0.499999	0.000000	0.000000	0.920148	0.079852	0.000000	0.000000	0.500000	0.500000	0.000000	0.000000	0.500000	0.500000	0.000000	0.000000	0.000647	0.999353	0.000000	0.000000	0.499997	0.499997	0.000000	0.000000	0.997371	0.002626	0.000000	0.000000	0.139406	0.860589	0.000000	0.000000
df77_	F2	-	0.519445	0.604697	0.395292	0.000000	0.000000	0.500000	0.500000	0.000000	0.000000	0.226805	0.773195	0.000000	0.000000	0.490481	0.509440	0.000000	0.000000	0.742407	0.257566	0.000000	0.000000	0.500000	0.500000	0.000000	0.000000	0.949154	0.050846	0.000000	0.000000	0.500000	0.500000	0.000000	0.000000	0.499999	0.499999	0.000000	0.000000	0.249657	0.750334	0.000000	0.000000	0.997371	0.002626	0.000000	0.000000	0.995795	0.004203	0.000000	0.000000
df108_	F2	-	0.496264	0.570295	0.429688	0.000000	0.000000	0.500000	0.500000	0.000000	0.000000	0.500000	0.500000	0.000000	0.000000	0.709847	0.290099	0.000000	0.000000	0.499999	0.499999	0.000000	0.000000	0.640049	0.359951	0.000000	0.000000	0.949154	0.050846	0.000000	0.000000	0.003953	0.996031	0.000000	0.000000	0.666364	0.333547	0.000000	0.000000	0.499997	0.499997	0.000000	0.000000	0.787071	0.212911	0.000000	0.000000	0.516808	0.483187	0.000000	0.000000
df128_	F2	-	0.475082	0.412576	0.587381	0.000000	0.000000	0.500000	0.500000	0.000000	0.000000	0.500000	0.500000	0.000000	0.000000	0.585517	0.414083	0.000000	0.000000	0.257566	0.742407	0.000000	0.000000	0.500000	0.500000	0.000000	0.000000	0.050839	0.949154	0.000000	0.000000	0.145127	0.854873	0.000000	0.000000	0.499999	0.499999	0.000000	0.000000	0.003497	0.996471	0.000000	0.000000	0.499997	0.499997	0.000000	0.000000	0.995795	0.004203	0.000000	0.000000
df132_	F2	-	0.485384	0.505150	0.494844	0.000000	0.000000	0.500000	0.500000	0.000000	0.000000	0.500000	0.500000	0.000000	0.000000	0.490509	0.509468	0.000000	0.000000	0.499999	0.499999	0.000000	0.000000	0.920148	0.079852	0.000000	0.000000	0.500000	0.500000	0.000000	0.000000	0.145127	0.854873	0.000000	0.000000	0.499999	0.499999	0.000000	0.000000	0.003497	0.996471	0.000000	0.000000	0.997371	0.002626	0.000000	0.000000	0.499998	0.499998	0.000000	0.000000
df137_	F2	-	0.530126	0.558471	0.441523	0.000000	0.000000	0.500000	0.500000	0.000000	0.000000	0.500000	0.500000	0.000000	0.000000	0.986990	0.012989	0.000000	0.000000	0.257566	0.742407	0.000000	0.000000	0.079852	0.920148	0.000000	0.000000	0.964587	0.035400	0.000000	0.000000	0.854873	0.145127	0.000000	0.000000	0.499999	0.499999	0.000000	0.000000	0.003518	0.996481	0.000000	0.000000	0.499997	0.499997	0.000000	0.000000	0.995795	0.004203	0.000000	0.000000
fx305_	F2	-	0.534955	0.000000	0.498222	0.000000	0.501773	0.000000	0.011751	0.000000	0.988249	0.000000	0.939048	0.000000	0.060952	0.000000	0.499989	0.000000	0.499989	0.000000	0.499999	0.000000	0.499999	0.000000	0.994826	0.000000	0.005174	0.000000	0.499998	0.000000	0.499998	0.000000	0.996031	0.000000	0.003964	0.000000	0.499996	0.000000	0.499996	0.000000	0.499994	0.000000	0.499994	0.000000	0.038726	0.000000	0.961268	0.000000	0.000080	0.000000	0.999920
fx319_	F2	-	0.482978	0.000000	0.678427	0.000000	0.321566	0.000000	0.011751	0.000000	0.988249	0.000000	0.939048	0.000000	0.060952	0.000000	0.998683	0.000000	0.001314	0.000000	0.962199	0.000000	0.037797	0.000000	0.701654	0.000000	0.298346	0.000000	0.508402	0.000000	0.491594	0.000000	0.996031	0.000000	0.003964	0.000000	0.965262	0.000000	0.034727	0.000000	0.403457	0.000000	0.596506	0.000000	0.499997	0.000000	0.499997	0.000000	0.476216	0.000000	0.523780
fx376_	F2	-	0.483913	0.000000	0.599183	0.000000	0.400805	0.000000	0.098376	0.000000	0.901624	0.000000	0.500000	0.000000	0.500000	0.000000	0.998683	0.000000	0.001314	0.000000	0.962199	0.000000	0.037797	0.000000	0.500000	0.000000	0.500000	0.000000	0.995089	0.000000	0.004906	0.000000	0.641158	0.000000	0.358842	0.000000	0.499996	0.000000	0.499996	0.000000	0.856791	0.000000	0.143105	0.000000	0.038726	0.000000	0.961268	0.000000	0.499998	0.000000	0.499998
sf648_	F2	-	0.506930	0.000000	0.519422	0.480570	0.000000	0.000000	0.950613	0.049387	0.000000	0.000000	0.861919	0.138080	0.000000	0.000000	0.865093	0.134890	0.000000	0.000000	0.037361	0.962637	0.000000	0.000000	0.206828	0.793172	0.000000	0.000000	0.545935	0.454065	0.000000	0.000000	0.499998	0.499998	0.000000	0.000000	0.499999	0.499999	0.000000	0.000000	0.606489	0.393461	0.000000	0.000000	0.499997	0.499997	0.000000	0.000000	0.139406	0.860589	0.000000
