Id	P1	P2	Cycle	Group	MS	Weight	UC	No.(+/+)	No.(-/-)	No.(+/-)	No.(?)	QTL1	QTL2	QTL3	QTL4	QTL5	QTL6	QTL7	QTL8	QTL9	QTL10	QTL11
D	d	d	-	-	0.363636	0.363636	4.000000	4	7	0	0	0.000000	0.000000	1.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	1.000000	1.000000
F	f	f	-	-	0.363636	0.363636	4.000000	4	7	0	0	0.000000	1.000000	0.000000	1.000000	0.000000	0.000000	1.000000	0.000000	1.000000	0.000000	0.000000
S	s	s	-	-	0.454545	0.454545	5.000000	5	6	0	0	0.000000	0.000000	0.000000	1.000000	1.000000	1.000000	0.000000	1.000000	0.000000	0.000000	1.000000
X	x	x	-	-	0.272727	0.272727	3.000000	3	8	0	0	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	1.000000
df	D	F	-	-	0.363636	0.363636	5.414214	0	3	8	0	0.000000	0.500000	0.500000	0.500000	0.000000	0.500000	0.500000	0.000000	0.500000	0.500000	0.500000
fx	F	X	-	-	0.318182	0.318182	4.822876	0	4	7	0	0.500000	0.500000	0.000000	0.500000	0.000000	0.000000	0.500000	0.000000	0.500000	0.500000	0.500000
sf	S	F	-	-	0.409091	0.409091	5.822876	1	3	7	0	0.000000	0.500000	0.000000	1.000000	0.500000	0.500000	0.500000	0.500000	0.500000	0.000000	0.500000
df19_	df	df	F2	-	0.419933	0.419933	5.737297	2	3	3	3	0.000000	0.994845	0.143163	0.742407	0.000000	0.949154	0.499992	0.000000	0.499997	0.289708	0.499998
df21_	df	df	F2	-	0.464440	0.464440	6.108845	3	3	4	1	0.000000	0.500000	0.906871	0.499999	0.000000	0.992595	0.500000	0.000000	0.996471	0.212911	0.499998
df24_	df	df	F2	-	0.452547	0.452547	5.978018	3	4	4	0	0.000000	0.994845	0.997701	0.981283	0.000000	0.500000	0.499992	0.000000	0.499997	0.499997	0.004203
df37_	df	df	F2	-	0.471661	0.471661	6.306300	1	3	5	2	0.000000	0.500000	0.585691	0.499999	0.000000	0.500000	0.854873	0.000000	0.750334	0.997371	0.499998
df58_	df	df	F2	-	0.570224	0.570224	7.138486	4	3	2	2	0.000000	0.994845	0.903458	0.499999	0.000000	0.992595	0.996031	0.000000	0.750334	0.499997	0.635201
df59_	df	df	F2	-	0.472064	0.472064	6.192700	3	4	2	2	0.000000	0.500000	0.095627	0.742407	0.000000	0.499989	0.996031	0.000000	0.996481	0.997371	0.364794
df64_	df	df	F2	-	0.357504	0.357504	4.932549	1	5	4	1	0.000000	0.500000	0.019209	0.548868	0.000000	0.007405	0.500000	0.000000	0.996481	0.499997	0.860589
df72_	df	df	F2	-	0.354819	0.354819	4.903014	2	4	3	2	0.000000	0.994845	0.143163	0.261126	0.000000	0.007405	0.500000	0.000000	0.996481	0.499997	0.499998
df73_	df	df	F2	-	0.375205	0.375205	5.351999	1	3	6	1	0.000000	0.500000	0.490481	0.499999	0.000000	0.500000	0.500000	0.000000	0.499997	0.997371	0.139406
df77_	df	df	F2	-	0.519445	0.519445	6.579921	3	3	2	3	0.000000	0.773195	0.490481	0.257566	0.000000	0.949154	0.500000	0.000000	0.750334	0.997371	0.995795
df108_	df	df	F2	-	0.496264	0.496264	6.576941	2	3	4	2	0.000000	0.500000	0.709847	0.499999	0.000000	0.949154	0.996031	0.000000	0.499997	0.787071	0.516808
df128_	df	df	F2	-	0.475082	0.475082	6.225899	2	4	3	2	0.000000	0.500000	0.585517	0.742407	0.000000	0.050839	0.854873	0.000000	0.996471	0.499997	0.995795
df132_	df	df	F2	-	0.485384	0.485384	6.457255	2	3	5	1	0.000000	0.500000	0.490509	0.499999	0.000000	0.500000	0.854873	0.000000	0.996471	0.997371	0.499998
df137_	df	df	F2	-	0.530126	0.530126	6.697408	4	3	2	2	0.000000	0.500000	0.986990	0.742407	0.000000	0.964587	0.145127	0.000000	0.996481	0.499997	0.995795
fx305_	fx	fx	F2	-	0.534955	0.534955	6.591616	5	4	2	0	0.988249	0.939048	0.000000	0.499999	0.000000	0.000000	0.996031	0.000000	0.499994	0.961268	0.999920
fx319_	fx	fx	F2	-	0.482978	0.482978	6.178786	4	4	2	1	0.988249	0.939048	0.000000	0.962199	0.000000	0.000000	0.996031	0.000000	0.403457	0.499997	0.523780
fx376_	fx	fx	F2	-	0.483913	0.483913	6.189064	3	4	2	2	0.901624	0.500000	0.000000	0.962199	0.000000	0.000000	0.641158	0.000000	0.856791	0.961268	0.499998
sf648_	sf	sf	F2	-	0.506930	0.506930	6.576229	1	3	3	4	0.000000	0.861919	0.000000	0.999998	0.793172	0.454065	0.499998	0.499999	0.606489	0.000000	0.860589
sf650_	sf	sf	F2	-	0.536694	0.536694	6.903634	4	3	4	0	0.000000	0.475960	0.000000	0.999977	0.500000	0.500000	0.996031	0.999353	0.436518	0.000000	0.995795
sf655_	sf	sf	F2	-	0.537282	0.537282	6.617206	4	4	1	2	0.000000	0.978466	0.000000	0.999942	0.994826	0.004911	0.641158	0.499999	0.795002	0.000000	0.995795
sf681_	sf	sf	F2	-	0.508395	0.508395	6.710377	3	3	5	0	0.000000	0.601509	0.000000	0.999977	0.500000	0.995089	0.499998	0.499999	0.499977	0.000000	0.995795
sf683_	sf	sf	F2	-	0.553013	0.553013	6.949171	4	3	2	2	0.000000	0.978466	0.000000	0.999962	0.994826	0.454065	0.996031	0.499999	0.795002	0.000000	0.364794
sf716_	sf	sf	F2	-	0.542751	0.542751	6.970266	4	3	4	0	0.000000	0.978466	0.000000	0.999998	0.500000	0.500000	0.996031	0.499999	0.499977	0.000000	0.995795
sf740_	sf	sf	F2	-	0.487385	0.487385	6.479267	3	3	4	1	0.000000	0.475960	0.000000	0.999998	0.500000	0.499989	0.996031	0.499999	0.393461	0.000000	0.995795
sf743_	sf	sf	F2	-	0.451453	0.451453	6.190733	1	3	5	2	0.000000	0.475960	0.000000	0.999977	0.500000	0.500000	0.854873	0.499999	0.499977	0.000000	0.635201
df19	df19_	df19_	-	-	0.419790	0.419790	4.617685	2	4	0	5	0.000000	0.994845	0.143162	0.742226	0.000000	0.949144	0.499984	0.000000	0.498711	0.289699	0.499913
df21	df21_	df21_	-	-	0.464275	0.464275	5.107029	3	3	0	5	0.000000	0.499829	0.906673	0.498802	0.000000	0.992595	0.499867	0.000000	0.996449	0.212902	0.499913
df24	df24_	df24_	-	-	0.452406	0.452406	4.976464	3	4	0	4	0.000000	0.994845	0.997700	0.981283	0.000000	0.499838	0.499984	0.000000	0.498711	0.499900	0.004203
df37	df37_	df37_	-	-	0.471499	0.471499	5.186493	2	3	0	6	0.000000	0.499829	0.585546	0.498802	0.000000	0.499838	0.854873	0.000000	0.750320	0.997371	0.499913
df58	df58_	df58_	-	-	0.570103	0.570103	6.271133	4	3	0	4	0.000000	0.994845	0.903449	0.498802	0.000000	0.992595	0.996031	0.000000	0.750320	0.499900	0.635191
df59	df59_	df59_	-	-	0.472019	0.472019	5.192206	3	4	0	4	0.000000	0.499829	0.095510	0.742226	0.000000	0.499978	0.996031	0.000000	0.996477	0.997371	0.364784
df64	df64_	df64_	-	-	0.357351	0.357351	3.930858	2	5	0	4	0.000000	0.499829	0.019194	0.547607	0.000000	0.007405	0.499867	0.000000	0.996477	0.499900	0.860581
df72	df72_	df72_	-	-	0.354789	0.354789	3.902684	2	5	0	4	0.000000	0.994845	0.143162	0.261114	0.000000	0.007405	0.499867	0.000000	0.996477	0.499900	0.499913
df73	df73_	df73_	-	-	0.374927	0.374927	4.124192	1	4	0	6	0.000000	0.499829	0.490383	0.498802	0.000000	0.499838	0.499867	0.000000	0.498711	0.997371	0.139392
df77	df77_	df77_	-	-	0.519406	0.519406	5.713465	3	3	0	5	0.000000	0.773195	0.490383	0.257382	0.000000	0.949154	0.499867	0.000000	0.750320	0.997371	0.995795
df108	df108_	df108_	-	-	0.496000	0.496000	5.456000	2	3	0	6	0.000000	0.499829	0.709685	0.498802	0.000000	0.949154	0.996031	0.000000	0.498711	0.787061	0.516727
df128	df128_	df128_	-	-	0.475036	0.475036	5.225399	3	4	0	4	0.000000	0.499829	0.585499	0.742226	0.000000	0.050829	0.854873	0.000000	0.996449	0.499900	0.995795
df132	df132_	df132_	-	-	0.485172	0.485172	5.336894	3	3	0	5	0.000000	0.499829	0.489819	0.498802	0.000000	0.499838	0.854873	0.000000	0.996449	0.997371	0.499913
df137	df137_	df137_	-	-	0.530082	0.530082	5.830902	4	4	0	3	0.000000	0.499829	0.986971	0.742226	0.000000	0.964577	0.145127	0.000000	0.996477	0.499900	0.995795
fx305	fx305_	fx305_	-	-	0.534727	0.534727	5.881994	5	4	0	2	0.988249	0.939046	0.000000	0.498894	0.000000	0.000000	0.996031	0.000000	0.498608	0.961245	0.999920
fx319	fx319_	fx319_	-	-	0.482846	0.482846	5.311305	4	4	0	3	0.988249	0.939046	0.000000	0.962180	0.000000	0.000000	0.996031	0.000000	0.402132	0.499900	0.523767
fx376	fx376_	fx376_	-	-	0.483883	0.483883	5.322717	4	4	0	3	0.901624	0.499982	0.000000	0.962180	0.000000	0.000000	0.641147	0.000000	0.856612	0.961245	0.499927
sf648	sf648_	sf648_	-	-	0.506780	0.506780	5.574579	3	3	0	5	0.000000	0.861907	0.000000	0.999957	0.793172	0.454065	0.499832	0.499852	0.605214	0.000000	0.860581
sf650	sf650_	sf650_	-	-	0.536608	0.536608	5.902693	4	3	0	4	0.000000	0.475772	0.000000	0.999550	0.499984	0.499838	0.996031	0.999351	0.436371	0.000000	0.995795
sf655	sf655_	sf655_	-	-	0.537230	0.537230	5.909534	4	4	0	3	0.000000	0.978466	0.000000	0.999693	0.994826	0.004911	0.641147	0.499852	0.794845	0.000000	0.995795
sf681	sf681_	sf681_	-	-	0.508208	0.508208	5.590288	3	3	0	5	0.000000	0.601496	0.000000	0.999550	0.499984	0.995089	0.499832	0.499852	0.498691	0.000000	0.995795
