Id	P1	P2	MS	Weight	UC	No.(+/+)	No.(-/-)	No.(+/-)	No.(?)	QTL1	QTL2	QTL3	QTL4	QTL5	QTL6	QTL7	QTL8	QTL9	QTL10
217x259	217	259	0.751098	0.751098	8.207107	6	1	0	3	0.074458	0.997977	0.996407	0.660810	0.996242	0.933312	0.366372	0.998701	0.986786	0.499913
217x45	217	45	0.758468	0.758468	8.616025	5	0	0	5	0.499914	0.998198	0.996407	0.668241	0.747366	0.937909	0.251408	0.998526	0.986786	0.499924
217x49	217	49	0.753408	0.753408	9.072876	4	0	0	6	0.251092	0.748622	0.995995	0.346263	0.999197	0.938193	0.748143	0.770291	0.986786	0.749503
217x65	217	65	0.743906	0.743906	8.724745	3	0	0	7	0.498837	0.998198	0.996407	0.572456	0.504413	0.938193	0.615227	0.770291	0.796250	0.748788
238x217	238	217	0.783720	0.783720	9.224745	4	0	1	5	0.499609	0.997970	0.996407	0.427993	0.742817	0.689242	0.748394	0.769705	0.986786	0.978274
238x259	238	259	0.763753	0.763753	8.500000	3	0	0	7	0.571554	0.997750	0.996407	0.737387	0.739862	0.743984	0.615130	0.769705	0.986786	0.478969
238x282	238	282	0.784387	0.784387	9.414214	4	0	2	4	0.747978	0.997970	0.748171	0.749750	0.486437	0.748865	0.879490	0.520150	0.986786	0.978274
238x286	238	286	0.793049	0.793049	9.368034	5	0	1	4	0.910158	0.935467	0.996407	0.749750	0.486437	0.748865	0.879335	0.769705	0.965253	0.489113
238x42	238	42	0.795858	0.795858	9.224745	4	0	0	6	0.748174	0.997750	0.995944	0.749750	0.244672	0.748865	0.997153	0.769705	0.749239	0.957330
238x45	238	45	0.771124	0.771124	8.868034	4	0	1	5	0.997010	0.997970	0.996407	0.744818	0.490985	0.748580	0.500166	0.769530	0.986786	0.478981
238x49	238	49	0.766064	0.766064	9.250000	3	0	2	5	0.748188	0.748394	0.995995	0.422839	0.742817	0.748865	0.996901	0.541295	0.986786	0.728560
238x65	238	65	0.756562	0.756562	8.914214	3	0	1	6	0.995934	0.997970	0.996407	0.649033	0.248034	0.748865	0.863985	0.541295	0.796250	0.727845
248x217	248	217	0.791560	0.791560	9.116025	6	0	1	3	0.426428	0.997964	0.891265	0.428076	0.999102	0.440259	0.748094	0.998412	0.986786	0.999217
248x238	248	238	0.804215	0.804215	9.368034	6	0	1	3	0.923523	0.997735	0.891265	0.504653	0.742722	0.250931	0.996852	0.769416	0.986786	0.978274
248x259	248	259	0.771594	0.771594	8.250000	5	0	0	5	0.498372	0.997743	0.891265	0.737470	0.996147	0.495000	0.614830	0.998412	0.986786	0.499913
248x282	248	282	0.792227	0.792227	9.368034	4	0	0	6	0.674797	0.997964	0.643029	0.749834	0.742722	0.499881	0.879190	0.748856	0.986786	0.999217
248x286	248	286	0.800890	0.800890	9.207107	5	0	0	5	0.836977	0.935461	0.891265	0.749834	0.742722	0.499881	0.879034	0.998412	0.965253	0.510056
248x42	248	42	0.803698	0.803698	9.116025	5	0	0	5	0.674993	0.997743	0.890802	0.749834	0.500957	0.499881	0.996852	0.998412	0.749239	0.978274
248x45	248	45	0.778964	0.778964	8.707107	5	0	0	5	0.923828	0.997964	0.891265	0.744901	0.747270	0.499597	0.499866	0.998236	0.986786	0.499924
248x49	248	49	0.773904	0.773904	9.224745	4	0	1	5	0.675007	0.748387	0.890853	0.422922	0.999102	0.499881	0.996601	0.770002	0.986786	0.749503
248x65	248	65	0.764402	0.764402	8.868034	3	0	0	7	0.922752	0.997964	0.891265	0.649116	0.504319	0.499881	0.863684	0.770002	0.796250	0.748788
259x65	259	65	0.723940	0.723940	8.000000	4	0	0	6	0.570782	0.997977	0.996407	0.881850	0.501459	0.992934	0.481962	0.770291	0.796250	0.249484
282x217	282	217	0.771732	0.771732	9.224745	4	0	0	6	0.250883	0.998198	0.748171	0.673173	0.742817	0.938193	0.630732	0.749146	0.986786	0.999217
282x259	282	259	0.751765	0.751765	8.500000	4	0	0	6	0.322827	0.997977	0.748171	0.982568	0.739862	0.992934	0.497467	0.749146	0.986786	0.499913
282x45	282	45	0.759135	0.759135	8.868034	4	0	1	5	0.748283	0.998198	0.748171	0.989999	0.490985	0.997531	0.382503	0.748970	0.986786	0.499924
282x49	282	49	0.754076	0.754076	9.250000	3	0	2	5	0.499462	0.748622	0.747758	0.668020	0.742817	0.997815	0.879239	0.520736	0.986786	0.749503
282x65	282	65	0.744573	0.744573	8.914214	3	0	1	6	0.747207	0.998198	0.748171	0.894213	0.248034	0.997815	0.746322	0.520736	0.796250	0.748788
286x217	286	217	0.780393	0.780393	9.116025	5	0	0	5	0.413062	0.935695	0.996407	0.673173	0.742817	0.938193	0.630576	0.998701	0.965253	0.510056
286x259	286	259	0.760428	0.760428	8.250000	6	1	0	3	0.485007	0.935474	0.996407	0.982568	0.739862	0.992934	0.497312	0.998701	0.965253	0.010752
286x282	286	282	0.781061	0.781061	9.368034	4	0	1	5	0.661431	0.935695	0.748171	0.994931	0.486437	0.997815	0.761672	0.749146	0.965253	0.510056
286x45	286	45	0.767797	0.767797	8.707107	7	1	1	1	0.910463	0.935695	0.996407	0.989999	0.490985	0.997531	0.382348	0.998526	0.965253	0.010763
286x49	286	49	0.762738	0.762738	9.224745	4	0	0	6	0.661641	0.686118	0.995995	0.668020	0.742817	0.997815	0.879084	0.770291	0.965253	0.260342
286x65	286	65	0.753235	0.753235	8.868034	5	0	0	5	0.909386	0.935695	0.996407	0.894213	0.248034	0.997815	0.746167	0.770291	0.774717	0.259627
42x217	42	217	0.783203	0.783203	9.000000	5	0	0	5	0.251078	0.997977	0.995944	0.673173	0.501051	0.938193	0.748394	0.998701	0.749239	0.978274
42x259	42	259	0.763236	0.763236	8.207107	5	0	0	5	0.323024	0.997757	0.995944	0.982568	0.498097	0.992934	0.615130	0.998701	0.749239	0.478969
42x282	42	282	0.783870	0.783870	9.224745	5	0	1	4	0.499448	0.997977	0.747707	0.994931	0.244672	0.997815	0.879490	0.749146	0.749239	0.978274
42x286	42	286	0.792532	0.792532	9.116025	6	0	0	4	0.661628	0.935474	0.995944	0.994931	0.244672	0.997815	0.879335	0.998701	0.727706	0.489113
42x45	42	45	0.770606	0.770606	8.616025	5	0	0	5	0.748479	0.997977	0.995944	0.989999	0.249220	0.997531	0.500166	0.998526	0.749239	0.478981
42x49	42	49	0.765547	0.765547	9.072876	3	0	1	6	0.499658	0.748401	0.995532	0.668020	0.501051	0.997815	0.996901	0.770291	0.749239	0.728560
42x65	42	65	0.756045	0.756045	8.724745	4	1	1	4	0.747403	0.997977	0.995944	0.894213	0.006268	0.997815	0.863985	0.770291	0.558702	0.727845
45x259	45	259	0.738502	0.738502	7.750000	6	2	0	2	0.571859	0.997977	0.996407	0.977635	0.744411	0.992650	0.118143	0.998526	0.986786	0.000620
45x49	45	49	0.740812	0.740812	8.724745	3	0	0	7	0.748493	0.748622	0.995995	0.663088	0.747366	0.997531	0.499915	0.770116	0.986786	0.250210
45x65	45	65	0.731310	0.731310	8.368034	5	0	0	5	0.996239	0.998198	0.996407	0.889281	0.252582	0.997531	0.366999	0.770116	0.796250	0.249495
49x259	49	259	0.733442	0.733442	8.368034	4	0	0	6	0.323037	0.748401	0.995995	0.655657	0.996242	0.992934	0.614878	0.770291	0.986786	0.250199
49x65	49	65	0.726251	0.726251	8.750000	2	0	2	6	0.747417	0.748622	0.995995	0.567303	0.504413	0.997815	0.863734	0.541881	0.796250	0.499074
--
Method: complete (half-diallel)
List: List1_Truncation_Selection_MS
Criterion: no
