Id	P1	P2	Cycle	Group	MS	Weight	UC	No.(+/+)	No.(-/-)	No.(+/-)	No.(?)	QTL1	QTL2	QTL3	QTL4	QTL5	QTL6	QTL7	QTL8	QTL9	QTL10
217	f1	f1	F3	-	0.771064	0.771064	8.707107	7	1	1	1	0.002513	0.998198	0.996407	0.351416	0.999197	0.878571	0.499636	0.998701	0.986786	0.999217
238	f1	f1	F3	-	0.796375	0.796375	9.000000	6	0	4	0	0.996705	0.997742	0.996407	0.504570	0.486437	0.499914	0.997153	0.540709	0.986786	0.957330
248	f1	f1	F3	-	0.812056	0.812056	9.000000	6	1	1	2	0.850342	0.997729	0.786123	0.504736	0.999007	0.001947	0.996552	0.998122	0.986786	0.999217
259	f1	f1	F3	-	0.731132	0.731132	7.000000	7	1	0	2	0.146403	0.997757	0.996407	0.970205	0.993288	0.988053	0.233107	0.998701	0.986786	0.000609
282	f1	f1	F3	-	0.772399	0.772399	9.000000	5	0	4	1	0.499252	0.998198	0.499934	0.994931	0.486437	0.997815	0.761827	0.499590	0.986786	0.999217
286	f1	f1	F3	-	0.789723	0.789723	9.000000	6	1	1	2	0.823611	0.873192	0.996407	0.994931	0.486437	0.997815	0.761517	0.998701	0.943720	0.020895
42	f1	f1	F3	G5	0.795341	0.795341	8.707107	7	1	2	0	0.499644	0.997757	0.995481	0.994931	0.002906	0.997815	0.997153	0.998701	0.511692	0.957330
45	f1	f1	F3	-	0.745872	0.745872	8.000000	7	2	1	0	0.997315	0.998198	0.996407	0.985066	0.495534	0.997247	0.003180	0.998351	0.986786	0.000631
49	f1	f1	F3	-	0.735753	0.735753	8.618034	5	0	4	1	0.499672	0.499045	0.995583	0.341109	0.999197	0.997815	0.996650	0.541881	0.986786	0.499789
65	f1	f1	F3	-	0.716748	0.716748	8.000000	4	1	3	2	0.995162	0.998198	0.996407	0.793496	0.009630	0.997815	0.730817	0.541881	0.605713	0.498359
