Id	MS	All	QTL1	QTL2	QTL3	QTL4	QTL5	QTL6	QTL7	QTL8	QTL9	QTL10
F2	0.400000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000
F252	0.600000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000
f1	0.500000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000
1	0.625460	0.999307	0.999895	0.999932	0.999909	0.999892	0.995586	0.999952	0.998865	0.999176	0.999899	0.999960
2	0.472005	0.999669	0.999895	0.998781	0.999247	0.999503	0.999932	0.999952	0.999924	0.999907	0.999968	0.999579
3	0.597431	0.998563	0.999554	0.998765	0.990168	0.999301	0.999831	0.999952	0.999271	0.999541	0.999582	0.999661
4	0.499969	0.998284	0.997920	0.985763	0.999909	0.999892	0.999831	0.999894	0.999901	0.999907	0.999968	0.999850
5	0.591792	0.998826	0.999820	0.997145	0.999867	0.998182	0.999932	0.999079	0.999924	0.995789	0.999731	0.998793
6	0.209592	0.999158	0.999820	0.999932	0.999909	0.999951	0.999932	0.999441	0.994551	0.999535	0.998933	0.999579
7	0.504471	0.998976	0.999895	0.999932	0.992812	0.998836	0.999255	0.999459	0.999924	0.999849	0.999954	0.999850
8	0.376660	0.997305	0.999820	0.999821	0.999417	0.993413	0.998686	0.994115	0.999271	0.999535	0.999954	0.989015
9	0.590040	0.996829	0.998987	0.999932	0.976334	0.999892	0.996070	0.998712	0.998865	0.999580	0.999954	0.999960
10	0.422439	0.999092	0.996713	0.999932	0.999417	0.999892	0.999646	0.999828	0.996364	0.999907	0.999642	0.999579
11	0.386713	0.999678	0.999820	0.998765	0.999909	0.999951	0.999932	0.999952	0.999924	0.999520	0.999803	0.999205
12	0.526880	0.998311	0.996974	0.999932	0.990168	0.999817	0.999528	0.999952	0.999924	0.998042	0.999582	0.999190
13	0.401323	0.999782	0.999895	0.999482	0.999909	0.999951	0.999832	0.999952	0.999496	0.999479	0.999968	0.999850
14	0.548145	0.999728	0.999895	0.999482	0.998814	0.999892	0.999646	0.999788	0.999924	0.999907	0.999968	0.999960
15	0.537084	0.999016	0.992257	0.999932	0.999909	0.999403	0.999831	0.999952	0.999924	0.999138	0.999968	0.999850
16	0.573260	0.998718	0.990769	0.999932	0.999909	0.999716	0.999653	0.999952	0.999924	0.999541	0.999582	0.998203
17	0.106556	0.999571	0.999326	0.999482	0.998814	0.999503	0.999831	0.999952	0.999924	0.999907	0.999968	0.999005
18	0.361616	0.999309	0.999344	0.999005	0.999909	0.999716	0.999680	0.999079	0.998628	0.999580	0.999945	0.998203
19	0.523023	0.996475	0.991721	0.989770	0.999909	0.987415	0.999932	0.999952	0.998865	0.999849	0.999954	0.997382
20	0.567499	0.999630	0.999318	0.999821	0.999909	0.999081	0.999653	0.999952	0.999924	0.999541	0.999915	0.999190
21	0.262019	0.999088	0.996692	0.999243	0.999909	0.999641	0.999831	0.999441	0.998865	0.999907	0.999968	0.997382
22	0.363263	0.998451	0.998987	0.999932	0.999136	0.988755	0.999932	0.999952	0.999090	0.999907	0.999968	0.998851
23	0.647830	0.999665	0.998987	0.999473	0.999909	0.999892	0.999932	0.999828	0.999261	0.999849	0.999938	0.999579
24	0.529511	0.996798	0.991721	0.999714	0.999623	0.997900	0.999932	0.999894	0.983928	0.995789	0.999820	0.999661
25	0.507345	0.998820	0.998505	0.999670	0.999122	0.999817	0.995158	0.999894	0.998871	0.999138	0.999820	0.998203
26	0.601720	0.999525	0.998622	0.999821	0.999909	0.999892	0.999766	0.999952	0.998864	0.999179	0.999582	0.999661
27	0.343560	0.992691	0.999425	0.999482	0.997178	0.999951	0.936003	0.996739	0.999470	0.999535	0.999623	0.999508
28	0.652022	0.999486	0.999820	0.999932	0.999417	0.999892	0.999885	0.999952	0.999261	0.996898	0.999954	0.999850
29	0.446958	0.999650	0.999318	0.999932	0.999909	0.999817	0.999766	0.999952	0.999924	0.999124	0.999968	0.998793
30	0.694985	0.999096	0.999425	0.994421	0.999909	0.999013	0.999932	0.999952	0.999924	0.999580	0.999954	0.998846
31	0.498757	0.999782	0.999820	0.999932	0.999319	0.999951	0.999545	0.999679	0.999924	0.999849	0.999954	0.999850
32	0.428242	0.999723	0.999895	0.999821	0.999909	0.999348	0.999528	0.999770	0.999924	0.999179	0.999899	0.999960
33	0.371641	0.999599	0.998140	0.999932	0.999417	0.999716	0.999831	0.999952	0.999924	0.999535	0.999968	0.999579
34	0.484346	0.998229	0.998987	0.985763	0.999247	0.999892	0.999646	0.999770	0.999901	0.999541	0.999968	0.999579
35	0.565916	0.998689	0.996974	0.999232	0.999909	0.999951	0.999932	0.991985	0.999924	0.999179	0.999954	0.999850
36	0.451096	0.999782	0.999344	0.999243	0.999909	0.999892	0.999831	0.999952	0.999924	0.999849	0.999915	0.999960
37	0.415560	0.996853	0.999344	0.995658	0.976334	0.999892	0.999831	0.999952	0.999573	0.999124	0.999968	0.998851
38	0.500260	0.999776	0.999820	0.999932	0.999319	0.999892	0.999850	0.999952	0.999271	0.999907	0.999968	0.999850
39	0.585788	0.999012	0.999318	0.995658	0.999909	0.999892	0.998686	0.999952	0.999924	0.997635	0.999954	0.999190
40	0.450183	0.999808	0.999895	0.999932	0.999561	0.999649	0.999653	0.999952	0.999901	0.999907	0.999968	0.999661
41	0.413490	0.997154	0.996416	0.982639	0.999561	0.999951	0.999528	0.999952	0.994551	0.999179	0.999915	0.999850
42	0.795341	0.999648	0.999289	0.999473	0.999561	0.999892	0.999831	0.999952	0.999924	0.999849	0.999915	0.998793
43	0.087196	0.999611	0.998943	0.999482	0.999623	0.999951	0.999831	0.999861	0.999573	0.999138	0.999742	0.999960
44	0.545154	0.999282	0.998622	0.998765	0.999319	0.999649	0.999680	0.999789	0.999470	0.998033	0.999915	0.999579
45	0.745872	0.999776	0.999895	0.999932	0.999909	0.999641	0.999653	0.999679	0.999619	0.999580	0.999954	0.999893
46	0.658335	0.999301	0.994759	0.999932	0.999909	0.999951	0.999932	0.999952	0.999727	0.999541	0.999731	0.999579
47	0.547606	0.999331	0.999395	0.999007	0.999524	0.999680	0.999215	0.999431	0.999852	0.998483	0.999623	0.999100
48	0.299284	0.998915	0.993240	0.999232	0.999909	0.998852	0.999556	0.999692	0.999924	0.999520	0.999642	0.999579
49	0.735753	0.998261	0.999344	0.998090	0.999623	0.988603	0.999932	0.999952	0.999496	0.998037	0.999954	0.999579
50	0.603243	0.999474	0.999895	0.999855	0.999909	0.999951	0.999680	0.999952	0.999901	0.995789	0.999954	0.999850
51	0.567325	0.999645	0.998987	0.999005	0.999867	0.999439	0.999680	0.999894	0.999924	0.999849	0.999954	0.999850
52	0.665675	0.998132	0.999318	0.994421	0.999909	0.999892	0.988563	0.999828	0.999924	0.999849	0.999954	0.999661
53	0.493601	0.999622	0.999554	0.999932	0.999867	0.999630	0.999932	0.999770	0.999924	0.998033	0.999915	0.999661
54	0.376866	0.999596	0.999895	0.999932	0.998269	0.999439	0.999653	0.999861	0.999573	0.999633	0.999742	0.999960
55	0.517787	0.999009	0.999895	0.996097	0.999909	0.999892	0.999680	0.999952	0.999619	0.999541	0.995546	0.999960
56	0.438581	0.999720	0.998987	0.999473	0.999867	0.999892	0.999680	0.999770	0.999924	0.999907	0.999742	0.999960
57	0.363910	0.999139	0.994759	0.998781	0.999561	0.999475	0.999831	0.999952	0.999573	0.999541	0.999954	0.999960
58	0.543643	0.999280	0.998943	0.999932	0.999561	0.999716	0.996449	0.999952	0.999924	0.999541	0.998933	0.999850
59	0.515856	0.999743	0.999820	0.999932	0.999909	0.999892	0.999831	0.999441	0.999924	0.999541	0.999820	0.999314
60	0.657147	0.998447	0.997920	0.996097	0.999909	0.993202	0.999653	0.999894	0.999924	0.999849	0.999820	0.998203
61	0.297268	0.999752	0.999820	0.999473	0.999623	0.999951	0.999831	0.999692	0.999901	0.999535	0.999731	0.999960
62	0.567739	0.999086	0.999820	0.999473	0.999909	0.999951	0.999932	0.999952	0.992391	0.999849	0.999731	0.999850
63	0.425453	0.999365	0.999820	0.999821	0.999867	0.999503	0.995736	0.999952	0.999924	0.999907	0.999274	0.999850
