Id	Cycle	Group	MS	All(+/+)	All(-/-)	All(+/-)	QTL1(+/+)	QTL1(-/-)	QTL1(+/-)	QTL2(+/+)	QTL2(-/-)	QTL2(+/-)	QTL3(+/+)	QTL3(-/-)	QTL3(+/-)	QTL4(+/+)	QTL4(-/-)	QTL4(+/-)	QTL5(+/+)	QTL5(-/-)	QTL5(+/-)	QTL6(+/+)	QTL6(-/-)	QTL6(+/-)	QTL7(+/+)	QTL7(-/-)	QTL7(+/-)	QTL8(+/+)	QTL8(-/-)	QTL8(+/-)	QTL9(+/+)	QTL9(-/-)	QTL9(+/-)	QTL10(+/+)	QTL10(-/-)	QTL10(+/-)
F2	IL	-	0.400000	0.400000	0.600000	0.000000	1.000000	0.000000	0.000000	0.000000	1.000000	0.000000	1.000000	0.000000	0.000000	0.000000	1.000000	0.000000	1.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	1.000000	0.000000	0.000000	1.000000	0.000000	0.000000	1.000000	0.000000
F252	IL	-	0.600000	0.600000	0.400000	0.000000	0.000000	1.000000	0.000000	1.000000	0.000000	0.000000	0.000000	1.000000	0.000000	1.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	1.000000	0.000000	1.000000	0.000000	0.000000	1.000000	0.000000	0.000000	1.000000	0.000000	0.000000	1.000000	0.000000	0.000000
f1	F1	-	0.500000	0.000000	0.000000	1.000000	0.000000	0.000000	1.000000	0.000000	0.000000	1.000000	0.000000	0.000000	1.000000	0.000000	0.000000	1.000000	0.000000	0.000000	1.000000	0.000000	0.000000	1.000000	0.000000	0.000000	1.000000	0.000000	0.000000	1.000000	0.000000	0.000000	1.000000	0.000000	0.000000	1.000000
1	F3	G1	0.625460	0.555379	0.303766	0.140162	0.995704	0.000968	0.003223	0.997099	0.000635	0.002198	0.994214	0.001309	0.004386	0.990837	0.000867	0.008188	0.000186	0.988665	0.006735	0.000799	0.996478	0.002675	0.540888	0.013065	0.444913	0.997433	0.000366	0.001377	0.036391	0.036391	0.927117	0.000239	0.998918	0.000804
2	F3	G1	0.472005	0.344429	0.400088	0.255152	0.995704	0.000968	0.003223	0.000421	0.994965	0.003396	0.433369	0.015520	0.550358	0.014248	0.004611	0.980645	0.998718	0.000256	0.000959	0.996478	0.000799	0.002675	0.001029	0.995412	0.003483	0.000424	0.998055	0.001428	0.002606	0.988998	0.008365	0.001293	0.001293	0.996994
3	F3	G1	0.597431	0.424503	0.228203	0.345856	0.994662	0.000806	0.004086	0.009393	0.253808	0.735565	0.428924	0.014725	0.546518	0.987539	0.000580	0.011181	0.000357	0.994377	0.005097	0.996478	0.000799	0.002675	0.005855	0.005855	0.987561	0.002522	0.002522	0.994497	0.819114	0.009935	0.170532	0.000183	0.998626	0.000853
4	F3	G1	0.499969	0.332358	0.330704	0.335222	0.012373	0.303768	0.681779	0.248848	0.005857	0.731058	0.994214	0.001309	0.004386	0.990837	0.000867	0.008188	0.000357	0.994377	0.005097	0.069021	0.007494	0.923379	0.006098	0.006098	0.987706	0.000424	0.998055	0.001428	0.002606	0.988998	0.008365	0.998800	0.000215	0.000836
5	F3	G1	0.591792	0.445323	0.260565	0.292937	0.000931	0.995507	0.003381	0.008014	0.252207	0.736924	0.007742	0.007742	0.984383	0.563366	0.303456	0.131360	0.998718	0.000256	0.000959	0.937835	0.004681	0.056562	0.001029	0.995412	0.003483	0.089161	0.003531	0.903097	0.894923	0.007213	0.097595	0.951514	0.035647	0.011632
6	F3	G1	0.209592	0.111401	0.691376	0.196381	0.000931	0.995507	0.003381	0.000635	0.997099	0.002198	0.001309	0.994214	0.004386	0.000804	0.996379	0.002768	0.998718	0.000256	0.000959	0.052441	0.923442	0.023558	0.000584	0.992802	0.001164	0.000353	0.997593	0.001589	0.056947	0.015172	0.926815	0.001293	0.001293	0.996994
7	F3	G1	0.504471	0.445936	0.435970	0.117070	0.995704	0.000968	0.003223	0.000635	0.997099	0.002198	0.373506	0.532526	0.086779	0.096561	0.004999	0.897276	0.006654	0.859821	0.132780	0.011742	0.965102	0.022615	0.001029	0.995412	0.003483	0.997961	0.000407	0.001481	0.976771	0.003153	0.020029	0.998800	0.000215	0.000836
8	F3	G1	0.376660	0.254389	0.498372	0.244544	0.000931	0.995507	0.003381	0.003891	0.003891	0.992038	0.001399	0.993624	0.004394	0.598979	0.001433	0.393001	0.000097	0.991349	0.007240	0.000377	0.989941	0.003797	0.005855	0.005855	0.987561	0.000353	0.997593	0.001589	0.976771	0.003153	0.020029	0.955232	0.001377	0.032406
9	F3	G1	0.590040	0.398614	0.215363	0.382852	0.005495	0.005495	0.987998	0.997099	0.000635	0.002198	0.000000	0.571370	0.404964	0.990837	0.000867	0.008188	0.000730	0.027511	0.967829	0.004486	0.004486	0.989740	0.013065	0.540888	0.444913	0.997423	0.000301	0.001856	0.976771	0.003153	0.020029	0.000239	0.998918	0.000804
10	F3	G1	0.422439	0.247804	0.402018	0.349270	0.000590	0.993737	0.002385	0.997099	0.000635	0.002198	0.001399	0.993624	0.004394	0.990837	0.000867	0.008188	0.002253	0.029024	0.968369	0.004569	0.004569	0.990691	0.477393	0.012123	0.506848	0.000424	0.998055	0.001428	0.002183	0.986257	0.011203	0.001293	0.001293	0.996994
11	F3	G2	0.386713	0.300940	0.527191	0.171547	0.000931	0.995507	0.003381	0.009393	0.253808	0.735565	0.001309	0.994214	0.004386	0.000804	0.996379	0.002768	0.998718	0.000256	0.000959	0.996478	0.000799	0.002675	0.995412	0.001029	0.003483	0.000393	0.997670	0.001458	0.003158	0.988306	0.008339	0.002803	0.043941	0.952462
12	F3	G2	0.526880	0.427011	0.371563	0.199736	0.009505	0.711279	0.276190	0.997099	0.000635	0.002198	0.428924	0.014725	0.546518	0.002587	0.989206	0.008024	0.000608	0.984294	0.014626	0.000799	0.996478	0.002675	0.995412	0.001029	0.003483	0.017485	0.007858	0.972699	0.819114	0.009935	0.170532	0.998582	0.000189	0.000419
13	F3	G2	0.401323	0.399811	0.596947	0.003023	0.995704	0.000968	0.003223	0.000650	0.996668	0.002164	0.001309	0.994214	0.004386	0.000804	0.996379	0.002768	0.998634	0.000242	0.000957	0.000799	0.996478	0.002675	0.001129	0.994932	0.003436	0.997680	0.000380	0.001418	0.002606	0.988998	0.008365	0.998800	0.000215	0.000836
