Id	Cycle	Group	MS	All(a)	All(b)	QTL1(a)	QTL1(b)	QTL2(a)	QTL2(b)	QTL3(a)	QTL3(b)	QTL4(a)	QTL4(b)	QTL5(a)	QTL5(b)	QTL6(a)	QTL6(b)	QTL7(a)	QTL7(b)	QTL8(a)	QTL8(b)	QTL9(a)	QTL9(b)	QTL10(a)	QTL10(b)
F2	IL	-	0.400000	1.000000	0.000000	1.000000	0.000000	1.000000	0.000000	1.000000	0.000000	1.000000	0.000000	1.000000	0.000000	1.000000	0.000000	1.000000	0.000000	1.000000	0.000000	1.000000	0.000000	1.000000	0.000000
F252	IL	-	0.600000	0.000000	1.000000	0.000000	1.000000	0.000000	1.000000	0.000000	1.000000	0.000000	1.000000	0.000000	1.000000	0.000000	1.000000	0.000000	1.000000	0.000000	1.000000	0.000000	1.000000	0.000000	1.000000
f1	F1	-	0.500000	0.500000	0.500000	0.500000	0.500000	0.500000	0.500000	0.500000	0.500000	0.500000	0.500000	0.500000	0.500000	0.500000	0.500000	0.500000	0.500000	0.500000	0.500000	0.500000	0.500000	0.500000	0.500000
1	F3	G1	0.625460	0.374195	0.625111	0.997315	0.002580	0.001734	0.998198	0.996407	0.003502	0.004961	0.994931	0.003554	0.992032	0.002136	0.997815	0.235521	0.763344	0.001055	0.998122	0.499949	0.499949	0.999320	0.000641
2	F3	G1	0.472005	0.868336	0.131332	0.997315	0.002580	0.996663	0.002118	0.708548	0.290699	0.494934	0.504570	0.999197	0.000735	0.997815	0.002136	0.997153	0.002771	0.998769	0.001138	0.993180	0.006788	0.499789	0.499789
3	F3	G1	0.597431	0.542103	0.456460	0.996705	0.002849	0.621590	0.377175	0.702183	0.287985	0.006171	0.993130	0.002906	0.996926	0.997815	0.002136	0.499636	0.499636	0.499771	0.499771	0.095201	0.904380	0.999052	0.000609
4	F3	G1	0.499969	0.475217	0.523067	0.353263	0.644658	0.371386	0.614377	0.996407	0.003502	0.004961	0.994931	0.002906	0.996926	0.530711	0.469184	0.499951	0.499951	0.998769	0.001138	0.993180	0.006788	0.000633	0.999217
5	F3	G1	0.591792	0.500738	0.498088	0.002622	0.997198	0.620669	0.376476	0.499934	0.499934	0.369136	0.629046	0.999197	0.000735	0.966117	0.032962	0.997153	0.002771	0.455080	0.540709	0.056011	0.943720	0.041463	0.957330
6	F3	G1	0.209592	0.603564	0.395594	0.002622	0.997198	0.998198	0.001734	0.003502	0.996407	0.997763	0.002188	0.999197	0.000735	0.064220	0.935221	0.993384	0.001166	0.998388	0.001147	0.478579	0.520354	0.499789	0.499789
7	F3	G1	0.504471	0.397424	0.601552	0.997315	0.002580	0.998198	0.001734	0.416896	0.575916	0.453637	0.545199	0.073044	0.926211	0.023049	0.976409	0.997153	0.002771	0.001147	0.998701	0.013168	0.986786	0.000633	0.999217
8	F3	G1	0.376660	0.223883	0.773422	0.002622	0.997198	0.499910	0.499910	0.003596	0.995821	0.197933	0.795479	0.003717	0.994969	0.002275	0.991839	0.499636	0.499636	0.998388	0.001147	0.013168	0.986786	0.017580	0.971435
9	F3	G1	0.590040	0.346973	0.649856	0.499493	0.499493	0.001734	0.998198	0.202482	0.773852	0.004961	0.994931	0.484644	0.511426	0.499356	0.499356	0.763344	0.235521	0.001229	0.998351	0.013168	0.986786	0.999320	0.000641
10	F3	G1	0.422439	0.375439	0.623653	0.001783	0.994930	0.001734	0.998198	0.003596	0.995821	0.004961	0.994931	0.486437	0.513209	0.499914	0.499914	0.265547	0.730817	0.998769	0.001138	0.991858	0.007784	0.499789	0.499789
11	F3	G2	0.386713	0.613631	0.386047	0.002622	0.997198	0.621590	0.377175	0.003502	0.996407	0.997763	0.002188	0.999197	0.000735	0.997815	0.002136	0.002771	0.997153	0.998399	0.001122	0.992476	0.007327	0.520171	0.479034
12	F3	G2	0.526880	0.244737	0.753574	0.147600	0.849374	0.001734	0.998198	0.702183	0.287985	0.993218	0.006599	0.007921	0.991607	0.002136	0.997815	0.002771	0.997153	0.494208	0.503834	0.095201	0.904380	0.000398	0.998792
13	F3	G2	0.401323	0.598913	0.400868	0.997315	0.002580	0.997750	0.001732	0.003502	0.996407	0.997763	0.002188	0.999112	0.000720	0.002136	0.997815	0.996650	0.002847	0.001090	0.998390	0.993180	0.006788	0.000633	0.999217
14	F3	G2	0.548145	0.548379	0.451349	0.997315	0.002580	0.001732	0.997750	0.499407	0.499407	0.004961	0.994931	0.486437	0.513209	0.499894	0.499894	0.002771	0.997153	0.998769	0.001138	0.993180	0.006788	0.999320	0.000641
15	F3	G2	0.537084	0.602893	0.396124	0.703649	0.288608	0.001734	0.998198	0.996407	0.003502	0.835883	0.163519	0.002906	0.996926	0.997815	0.002136	0.997153	0.002771	0.499569	0.499569	0.993180	0.006788	0.000633	0.999217
16	F3	G2	0.573260	0.196599	0.802119	0.349676	0.641093	0.001734	0.998198	0.003502	0.996407	0.494980	0.504736	0.495534	0.504119	0.002136	0.997815	0.002771	0.997153	0.499771	0.499771	0.095201	0.904380	0.020689	0.977514
17	F3	G2	0.106556	0.594642	0.404930	0.002641	0.996684	0.997750	0.001732	0.499407	0.499407	0.494934	0.504570	0.002906	0.996926	0.002136	0.997815	0.997153	0.002771	0.998769	0.001138	0.993180	0.006788	0.957539	0.041467
18	F3	G2	0.361616	0.347045	0.652264	0.499672	0.499672	0.499502	0.499502	0.003502	0.996407	0.494980	0.504736	0.009630	0.990050	0.032962	0.966117	0.995965	0.002663	0.001229	0.998351	0.912322	0.087623	0.020689	0.977514
19	F3	G2	0.523023	0.544523	0.451951	0.350602	0.641119	0.869727	0.120043	0.003502	0.996407	0.449349	0.538066	0.999197	0.000735	0.997815	0.002136	0.763344	0.235521	0.001147	0.998701	0.013168	0.986786	0.997382	0.000000
20	F3	G2	0.567499	0.530773	0.468857	0.002867	0.996452	0.499910	0.499910	0.996407	0.003502	0.329651	0.669431	0.495534	0.504119	0.997815	0.002136	0.997153	0.002771	0.499771	0.499771	0.488223	0.511692	0.000398	0.998792
21	F3	G3	0.262019	0.410328	0.588760	0.293603	0.703089	0.499622	0.499622	0.003502	0.996407	0.014575	0.985066	0.002906	0.996926	0.064220	0.935221	0.235521	0.763344	0.998769	0.001138	0.993180	0.006788	0.997382	0.000000
22	F3	G3	0.363263	0.777292	0.221159	0.499493	0.499493	0.998198	0.001734	0.213013	0.786123	0.578174	0.410581	0.999197	0.000735	0.997815	0.002136	0.995649	0.003441	0.998769	0.001138	0.993180	0.006788	0.499425	0.499425
23	F3	G3	0.647830	0.352391	0.647274	0.499493	0.499493	0.001716	0.997757	0.003502	0.996407	0.004961	0.994931	0.999197	0.000735	0.499914	0.499914	0.996552	0.002709	0.001147	0.998701	0.017635	0.982303	0.499789	0.499789
24	F3	G3	0.529511	0.490878	0.505920	0.641119	0.350602	0.001972	0.997742	0.004040	0.995583	0.182633	0.815267	0.999197	0.000735	0.469184	0.530711	0.754583	0.229345	0.455080	0.540709	0.401921	0.597899	0.999052	0.000609
25	F3	G3	0.507345	0.498363	0.500457	0.499252	0.499252	0.001941	0.997729	0.499561	0.499561	0.993218	0.006599	0.562786	0.432372	0.469184	0.530711	0.499435	0.499435	0.499569	0.499569	0.937995	0.061825	0.020689	0.977514
26	F3	G3	0.601720	0.568113	0.431412	0.850342	0.148280	0.499910	0.499910	0.003502	0.996407	0.004961	0.994931	0.999007	0.000759	0.997815	0.002136	0.731750	0.267115	0.499590	0.499590	0.095201	0.904380	0.999052	0.000609
27	F3	G3	0.343560	0.721099	0.271593	0.996760	0.002665	0.997750	0.001732	0.289989	0.707190	0.997763	0.002188	0.102650	0.833352	0.935112	0.061627	0.499735	0.499735	0.998388	0.001147	0.393910	0.605713	0.998931	0.000577
