Id	P1	P2	Cycle	Group	MS	Weight	UC	No.(+/+)	No.(-/-)	No.(+/-)	No.(?)	QTL1	QTL2	QTL3	QTL4	QTL5	QTL6	QTL7	QTL8	QTL9	QTL10
F2	a	a	IL	-	0.400000	0.400000	4.000000	4	6	0	0	1.000000	0.000000	1.000000	0.000000	1.000000	1.000000	0.000000	0.000000	0.000000	0.000000
F252	b	b	IL	-	0.600000	0.600000	6.000000	6	4	0	0	0.000000	1.000000	0.000000	1.000000	0.000000	0.000000	1.000000	1.000000	1.000000	1.000000
f1	F2	F252	F1	-	0.500000	0.500000	6.581139	0	0	10	0	0.500000	0.500000	0.500000	0.500000	0.500000	0.500000	0.500000	0.500000	0.500000	0.500000
1	f1	f1	F3	G1	0.625460	0.625460	7.000000	6	3	1	0	0.997315	0.998198	0.996407	0.994931	0.003554	0.002136	0.763344	0.998122	0.499949	0.000641
2	f1	f1	F3	G1	0.472005	0.472005	5.366025	3	4	3	0	0.997315	0.002118	0.708548	0.504570	0.999197	0.997815	0.002771	0.001138	0.006788	0.499789
3	f1	f1	F3	G1	0.597431	0.597431	7.000000	4	2	4	0	0.996705	0.377175	0.702183	0.993130	0.002906	0.997815	0.499636	0.499771	0.904380	0.000609
4	f1	f1	F3	G1	0.499969	0.499969	6.000000	3	3	4	0	0.353263	0.614377	0.996407	0.994931	0.002906	0.530711	0.499951	0.001138	0.006788	0.999217
5	f1	f1	F3	G1	0.591792	0.591792	7.000000	4	2	4	0	0.002622	0.376476	0.499934	0.629046	0.999197	0.966117	0.002771	0.540709	0.943720	0.957330
6	f1	f1	F3	G1	0.209592	0.209592	2.707107	1	7	2	0	0.002622	0.001734	0.003502	0.002188	0.999197	0.064220	0.001166	0.001147	0.520354	0.499789
7	f1	f1	F3	G1	0.504471	0.504471	5.707107	4	4	2	0	0.997315	0.001734	0.416896	0.545199	0.073044	0.023049	0.002771	0.998701	0.986786	0.999217
8	f1	f1	F3	G1	0.376660	0.376660	4.707107	3	5	2	0	0.002622	0.499910	0.003596	0.795479	0.003717	0.002275	0.499636	0.001147	0.986786	0.971435
9	f1	f1	F3	G1	0.590040	0.590040	6.366025	4	3	3	0	0.499493	0.998198	0.202482	0.994931	0.484644	0.499356	0.235521	0.998351	0.986786	0.000641
10	f1	f1	F3	G1	0.422439	0.422439	5.000000	2	4	4	0	0.001783	0.998198	0.003596	0.994931	0.486437	0.499914	0.730817	0.001138	0.007784	0.499789
11	f1	f1	F3	G2	0.386713	0.386713	4.707107	3	5	2	0	0.002622	0.377175	0.003502	0.002188	0.999197	0.997815	0.997153	0.001122	0.007327	0.479034
12	f1	f1	F3	G2	0.526880	0.526880	5.707107	4	4	2	0	0.147600	0.998198	0.702183	0.006599	0.007921	0.002136	0.997153	0.503834	0.904380	0.998792
13	f1	f1	F3	G2	0.401323	0.401323	4.000000	4	6	0	0	0.997315	0.001732	0.003502	0.002188	0.999112	0.002136	0.002847	0.998390	0.006788	0.999217
14	f1	f1	F3	G2	0.548145	0.548145	6.366025	4	3	3	0	0.997315	0.997750	0.499407	0.994931	0.486437	0.499894	0.997153	0.001138	0.006788	0.000641
15	f1	f1	F3	G2	0.537084	0.537084	5.707107	4	4	2	0	0.703649	0.998198	0.996407	0.163519	0.002906	0.997815	0.002771	0.499569	0.006788	0.999217
16	f1	f1	F3	G2	0.573260	0.573260	7.000000	4	2	4	0	0.349676	0.998198	0.003502	0.504736	0.495534	0.002136	0.997153	0.499771	0.904380	0.977514
17	f1	f1	F3	G2	0.106556	0.106556	1.707107	0	8	2	0	0.002641	0.001732	0.499407	0.504570	0.002906	0.002136	0.002771	0.001138	0.006788	0.041467
18	f1	f1	F3	G2	0.361616	0.361616	4.366025	2	5	3	0	0.499672	0.499502	0.003502	0.504736	0.009630	0.032962	0.002663	0.998351	0.087623	0.977514
19	f1	f1	F3	G2	0.523023	0.523023	5.707107	4	4	2	0	0.350602	0.120043	0.003502	0.538066	0.999197	0.997815	0.235521	0.998701	0.986786	0.000000
20	f1	f1	F3	G2	0.567499	0.567499	6.618034	3	2	5	0	0.002867	0.499910	0.996407	0.669431	0.495534	0.997815	0.002771	0.499771	0.511692	0.998792
21	f1	f1	F3	G3	0.262019	0.262019	3.707107	2	6	2	0	0.293603	0.499622	0.003502	0.985066	0.002906	0.064220	0.763344	0.001138	0.006788	0.000000
22	f1	f1	F3	G3	0.363263	0.363263	4.366025	2	5	3	0	0.499493	0.001734	0.213013	0.410581	0.999197	0.997815	0.003441	0.001138	0.006788	0.499425
23	f1	f1	F3	G3	0.647830	0.647830	7.366025	5	2	3	0	0.499493	0.997757	0.003502	0.994931	0.999197	0.499914	0.002709	0.998701	0.982303	0.499789
